Roost,Roost.size,Latitude,Longitude,Level,Distance,Position,Region,Installation.date,Installation.time.end.,Took.down.or.Solving,Species,ArtificialSurface.,Shannon.index.Artificial.Surface,General.Shannon.index,Shannon.index.water,Shannon.index.natural.terrestrial.vegetation,Latency_1stapproach,Solving.time,Latency_Solving,Mean approach duration,Approaches,Solved
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,29/6/2023 16:50,1/7/2023 02:10,Cacatua galerita,15.1,0.2854861,1.148539051,0.236702525,0.294827273,NA,NA,NA,0,0,0
ANU,287,-35.277264,149.114302,2,22.9,Left,North,20230629,29/6/2023 16:50,5/7/2023 06:43,Cacatua galerita,15.1,0.2854861,1.148539051,0.236702525,0.294827273,NA,NA,NA,0,0,0
ANU,287,-35.277264,149.114302,3,9.5,Center,North,20230629,29/6/2023 16:50,1/7/2023 02:45,Cacatua galerita,15.1,0.2854861,1.148539051,0.236702525,0.294827273,NA,NA,NA,0,0,0
Cook,176,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,24/6/2023 10:30,7/7/2023 03:02,Cacatua galerita,2,0.078292267,0.936663218,0.001536314,0.333440843,NA,NA,NA,0,0,0
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,30/6/2023 16:50,4/7/2023 17:13,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368,90812,4/7/2023 17:13,256184,90.21428571,27,1
Garis Place,165,-35.207972,149.01435,1,4.8,Center,Belconnen,20230616,16/6/2023 15:10,11/8/2023 11:00,Cacatua galerita,10.78,0.24012456,1.22516016,0.00228803,0.3522665,701773,NA,NA,40.5,4,0
Garis Place,165,-35.207972,149.01435,2,,Right,Belconnen,20230616,16/6/2023 15:10,11/8/2023 11:00,Cacatua galerita,10.78,0.24012456,1.22516016,0.00228803,0.3522665,NA,NA,NA,0,0,0
Garis Place,165,-35.207972,149.01435,3,12,Left,Belconnen,20230616,16/6/2023 15:10,11/8/2023 11:00,Cacatua galerita,10.78,0.24012456,1.22516016,0.00228803,0.3522665,81717,NA,NA,98.16216216,72,0
Gungahlin,130,-35.167771,149.144915,1,NA,Left,Gungahlin,20230614,14/6/2023 16:00,27/6/2023 11:58,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796,93738,NA,NA,92.7,10,0
Gungahlin,130,-35.167771,149.144915,2,10.8,Center,Gungahlin,20230614,14/6/2023 16:00,18/7/2023 11:57,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796,93068,NA,NA,53.16666667,12,0
