Roost,Roost size,Latitude,Longitude,Level,Distance ,Position,Region,Installation date,Installation time(end),Approach n,Approach start,Approach end,Approach date,Approach type,Solving time,Species,ArtificialSurface%,Shannon index Artificial Surface,General Shannon index,Shannon index water,Shannon index natural terrestrial vegetation
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,1,18:03:32,18:03:41,20230701,Presence,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,2,18:11:24,18:12:14,20230701,Presence,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,3,18:08:50,18:11:49,20230702,Attempt,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,4,18:10:26,18:12:51,20230702,Presence,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,5,08:13:02,08:15:06,20230703,Attempt,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,6,08:14:24,08:15:06,20230703,Presence,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,7,08:16:02,08:16:04,20230703,Presence,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,8,08:16:18,08:16:55,20230703,Presence,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,9,09:05:13,09:06:11,20230703,Attempt,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,10,09:06:26,09:06:33,20230703,Presence,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,11,09:06:53,09:10:29,20230703,Attempt,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,12,09:06:53,09:10:29,20230703,Attempt,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,13,09:10:42,09:10:49,20230703,Presence,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,14,09:10:49,09:11:46,20230703,Presence,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,15,17:18:55,17:19:49,20230703,Presence,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,16,17:21:26,17:21:44,20230703,Presence,NA,Cacatua galerita,11.81,0.25236357,0.84792036,NA,0.2265368
