fid,DN,Area in km2
"1","243",0.00124999999969266
"2","218",0.000625000000914559
"3","243",0.000625000007007271
"4","243",0.000625000001177192
"5","243",0.00187500026361644
"6","218",0.000624999991111457
"7","243",0.000625000002548099
"8","243",0.00375000029516779
"9","243",0.00187499987009354
"10","243",0.000625000000555068
"11","218",0.000625000006768852
"12","172",0.000624999999500811
"13","218",0.00125000000568852
"14","14",0.000624999999362975
"15","243",0.000625000003980473
"16","243",0.000625000002168119
"17","218",0.000624999999813735
"18","243",0.00500000181608647
"19","172",0.000625000000165775
"20","243",0.000625000006908551
"21","243",0.000624999996017665
"22","14",0.000624999998245388
"23","243",0.000624999997381121
"24","243",0.000625000007951632
"25","218",0.000625000006033108
"26","172",0.00187500012297742
"27","172",0.00125000000765547
"28","243",0.000625000001607463
"29","243",0.00187499972489849
"30","218",0.000624999999525025
"31","243",0.00062500000628829
"32","172",0.000625000009443611
"33","218",0.00812500036560744
"34","243",0.000625000003099442
"35","243",0.000624999991448596
"36","243",0.00062499999413453
"37","218",0.00124999999503419
"38","243",0.0143750012980942
"39","14",0.0468750001378711
"40","14",0.005000000005804
"41","172",0.00312499998040684
"42","243",0.000625000007143244
"43","172",0.0018750001297053
"44","243",0.00437499961164221
"45","218",0.000624999995194375
"46","243",0.00062499999762699
"47","243",0.00124999999243766
"48","218",0.000624999997392297
"49","243",0.000625000000623986
"50","218",0.00125000001116842
"51","243",0.000624999996170402
"52","243",0.00124999999605119
"53","243",0.00062500000747107
"54","218",0.000624999999158084
"55","243",0.000625000001847744
"56","243",0.0012500000082925
"57","243",0.000624999998496845
"58","218",0.000625000000722706
"59","218",0.000624999992640689
"60","243",0.00249999969474785
"61","243",0.0018750001356639
"62","243",0.000624999994238838
"63","243",0.000624999999903142
"64","218",0.000625000001886859
"65","243",0.00125000000310317
"66","243",0.00124999999395013
"67","172",0.00375000000391901
"68","243",0.000625000005176291
"69","218",0.000624999999763444
"70","243",0.000624999990006909
"71","243",0.00124999999764562
"72","243",0.00062500000400655
"73","243",0.000625000001510605
"74","243",0.00187499999883771
"75","243",0.00062499999662675
"76","243",0.000624999992808327
"77","172",0.00125000000560656
"78","243",0.000624999998562038
"79","243",0.00125000000258163
"80","218",0.000625000000499189
"81","243",0.000625000008827075
"82","243",0.00124999999976531
"83","243",0.000625000000357628
"84","218",0.000624999999817461
"85","172",0.000625000007085502
"86","243",0.000624999994713813
"87","172",0.000624999991618097
"88","243",0.00062499999968335
"89","172",0.00125000000246242
"90","243",0.00249999918672815
"91","218",0.0018749997223597
"92","243",0.000625000006284565
"93","243",0.00687499944863841
"94","243",0.0012500000030119
"95","243",0.000625000004585832
"96","243",0.000624999996937811
"97","243",0.000625000001104549
"98","218",0.00124999999003112
"99","243",0.00125000000130758
"100","243",0.00124999999766424
"101","218",0.00374999948649295
"102","243",0.000624999999616295
"103","172",0.00125000000560284
"104","243",0.00124999999906868
"105","243",0.00374999958259054
"106","243",0.000624999992506579
"107","218",0.00125000000414625
"108","218",0.00937500082678348
"109","243",0.000624999988744035
"110","243",0.0024999999947194
"111","172",0.00124999999624304
"112","14",0.00125000000286475
"113","243",0.000625000002117828
"114","172",0.000624999996520579
"115","243",0.000625000003833324
"116","218",0.00874999999433383
"117","243",0.00874999945949763
"118","243",0.00499999999495968
"119","14",0.00124999998956919
"120","243",0.00125000000307709
"121","243",0.000625000001348555
"122","172",0.000624999995213002
"123","243",0.00187500000006333
"124","243",0.00187500013349392
"125","14",0.000625000002885237
"126","172",0.00437499847982451
"127","172",0.00187500000241399
"128","218",0.000625000006815419
"129","218",0.00249999957084097
"130","172",0.0106250009725727
"131","243",0.000625000000404194
"132","243",0.000625000003008172
"133","243",0.00312500029553846
"134","218",0.000625000005781651
"135","172",0.00375000067115575
"136","172",0.000624999996297061
"137","218",0.000625000004548579
"138","14",0.000624999993907288
"139","243",0.000625000000663102
"140","14",0.000625000000311062
"141","14",0.000625000005917624
"142","243",0.0018750002709683
"143","243",0.000624999996576458
"144","218",0.000625000000568107
"145","243",0.000624999996770173
"146","243",0.00124999999526329
