fid,DN,Area in km2
"1","14",0.000625000000631437
"2","14",0.00374999831620045
"3","243",0.00125000000130944
"4","14",0.00187499971859157
"5","243",0.00187499986621737
"6","14",0.00312499957410805
"7","218",0.00375000000412576
"8","243",0.000625000002536923
"9","243",0.000625000008994713
"10","218",0.00124999999658763
"11","14",0.000625000012429431
"12","218",0.00250000080716051
"13","218",0.000624999998636544
"14","14",0.000624999997643754
"15","218",0.00124999999684095
"16","14",0.000624999999912456
"17","218",0.000624999999221414
"18","243",0.00499999998388998
"19","14",0.00125000000159442
"20","243",0.000624999995734543
"21","243",0.000624999999461696
"22","14",0.000625000003889203
"23","14",0.0049999997283686
"24","243",0.00249999997463264
"25","14",0.00499999997946806
"26","243",0.000624999998755753
"27","218",0.000625000001275912
"28","14",0.00187499988301285
"29","218",0.000624999998340383
"30","218",0.00124999999679998
"31","218",0.0206250010653324
"32","218",0.000625000003445894
"33","218",0.00312499947075732
"34","243",0.000624999997651204
"35","218",0.000624999996947125
"36","243",0.0181249997284561
"37","243",0.00187500000678003
"38","218",0.00187500012825802
"39","14",0.0181249996200744
"40","218",0.000624999999441206
"41","243",0.00124999999541789
"42","218",0.00124999999789149
"43","243",0.00124999999970756
"44","218",0.00374999790928885
"45","14",0.000624999996855855
"46","14",0.00124999999781512
"47","243",0.000625000002510846
"48","243",0.00062499999566935
"49","172",0.000625000003093854
"50","243",0.000625000004712492
"51","218",0.00437500066946819
"52","243",0.000624999997898936
"53","14",0.000624999998023734
"54","14",0.0118749913682733
"55","172",0.00500000028186664
"56","243",0.0512499990941603
"57","14",0.000624999996196479
"58","14",0.000624999998003244
"59","218",0.000624999992696568
"60","14",0.00187499999276549
"61","218",0.00124999999812804
"62","218",0.000624999995162711
"63","172",0.0037500005322285
"64","172",0.000625000001564622
"65","243",0.0181250008356646
"66","218",0.000625000001087785
"67","218",0.00124999999611825
"68","172",0.00125000000170432
"69","243",0.0350000090571772
"70","218",0.00250000080935284
"71","218",0.000624999994466081
"72","218",0.00124999999496341
"73","172",0.00125000000314601
"74","172",0.00187499972731993
"75","14",0.00125000000540353
"76","172",0.0137500004428066
"77","172",0.00687500042285398
"78","14",0.0137500003890395
"79","243",0.0056250010959059
"80","172",0.00562499996882118
"81","243",0.000625000000795349
"82","243",0.000625000003714114
"83","218",0.00312499932244234
"84","172",0.0012499999887608
"85","172",0.00124999999698624
"86","243",0.000625000000456348
"87","172",0.00125000000166893
"88","172",0.000625000007631257
"89","172",0.00062500000031665
"90","218",0.00187500011996739
"91","172",0.000625000011451542
"92","243",0.00187499987084977
"93","218",0.000624999995822087
"94","172",0.000625000000391155
"95","243",0.0018750001348909
"96","218",0.000625000006038696
"97","218",0.000625000000031665
"98","243",0.000624999999081716
"99","14",0.000625000000923872
"100","172",0.00374999999937974
"101","172",0.00062499999890849
"102","243",0.00187500028481707
"103","218",0.000624999991217628
"104","243",0.000624999991143122
"105","172",0.000625000003376976
"106","172",0.00124999999433756
"107","14",0.00124999999095127
"108","243",0.00124999999365211
"109","172",0.00625000154955313
"110","14",0.022500000414744
"111","243",0.00125000000147149
"112","172",0.00124999999874644
"113","14",0.000625000000737607
"114","243",0.000624999999724328
"115","14",0.000625000006431714
"116","243",0.00125000000457652
"117","243",0.00374999985913001
"118","243",0.000625000007428229
"119","218",0.00187500026680529
"120","243",0.000625000003714114
"121","218",0.000624999989502132
"122","243",0.0012499999987334
"123","172",0.00125000000732765
"124","243",0.00187500027847849
"125","243",0.00125000000105426
"126","243",0.0018750002784878
"127","218",0.00125000000220165
"128","172",0.0037499998459965
"129","218",0.000624999998433515
"130","172",0.0031249999855496
"131","243",0.000624999996606261
"132","172",0.000625000001627952
"133","77",0.151875015227325
"134","243",0.00437499986797571
"135","243",0.00125000000212714
"136","172",0.036874998704711
"137","243",0.0012500000006482
"138","218",0.0025000000032261
"139","218",0.000624999992305413
"140","172",0.00250000042177178
"141","172",0.0206250002397858
"142","243",0.00187500012161024
"143","243",0.0018749998745136
"144","243",0.000625000000560656
