fid,DN,Area in km2
"1","243",0.00249999999321066
"2","14",0.000624999999919906
"3","14",0.000625000000283122
"4","14",0.00124999999732152
"5","243",0.000624999995378777
"6","172",0.0443750041680448
"7","218",0.000625000002877787
"8","14",0.00187500028236397
"9","243",0.000624999998381361
"10","243",0.00125000001429766
"11","243",0.000625000003237277
"12","243",0.000625000002196059
"13","243",0.00187499999932572
"14","243",0.00187500000296533
"15","243",0.000624999998951331
"16","218",0.00312499818429165
"17","243",0.00375000100211613
"18","172",0.00187500026666
"19","243",0.00687499972014129
"20","243",0.000624999996135011
"21","218",0.000625000005859882
"22","243",0.000624999993480742
"23","243",0.000624999999137595
"24","172",0.000625000001844019
"25","243",0.00437500040951744
"26","218",0.000624999998997897
"27","243",0.000624999993700534
"28","172",0.0012499999968186
"29","218",0.000624999999077991
"30","218",0.00249999999546818
"31","218",0.000624999994235113
"32","14",0.00062500000878796
"33","243",0.00187500028073788
"34","218",0.0006250000094641
"35","243",0.00062500000535138
"36","218",0.000625000002328306
"37","14",0.000625000004259869
"38","243",0.000625000002063811
"39","218",0.000624999994488433
"40","243",0.00062499999329634
"41","243",0.000624999996839091
"42","243",0.000625000004624948
"43","218",0.000625000000040978
"44","243",0.000625000005800277
"45","218",0.000624999991988763
"46","218",0.0031249995710142
"47","243",0.00249999946467951
"48","218",0.00187500026530214
"49","243",0.0025000000038296
"50","172",0.000624999997969717
"51","172",0.000625000000614673
"52","14",0.00249999970931374
"53","14",0.0012500000005886
"54","243",0.000624999991260469
"55","218",0.00062500000060536
"56","243",0.00062500000295043
"57","172",0.000625000004811212
"58","218",0.000624999999579042
"59","243",0.00124999999267235
"60","218",0.00062499999506399
"61","243",0.000625000000234693
"62","243",0.00124999999671243
"63","243",0.00250000030061603
"64","243",0.000625000000474975
"65","243",0.00124999999656156
"66","243",0.000624999999918044
"67","172",0.00062500001359731
"68","243",0.000624999997634441
"69","243",0.00374999970227666
"70","218",0.0012499999975916
"71","243",0.000624999993877485
"72","243",0.00124999999601021
"73","218",0.00124999999601208
"74","218",0.00687500011662953
"75","243",0.0024999999999553
"76","243",0.00312500052974373
"77","243",0.00187500012969971
"78","243",0.00125000000075996
"79","243",0.00187499987661093
"80","218",0.000625000003255904
"81","243",0.000625000000344589
"82","172",0.000625000001648441
"83","172",0.00874999985262565
"84","218",0.000625000002576038
"85","218",0.00249999968949519
"86","243",0.000624999994607642
"87","243",0.000624999999957159
"88","218",0.000624999994793907
