fid,DN,Area in km2
"1","243",0.000624999992363155
"2","218",0.00125000001195446
"3","243",0.000625000001519918
"4","243",0.0037500009948872
"5","218",0.0031250005247239
"6","14",0.00874999972530827
"7","243",0.00187500028342009
"8","218",0.000624999999500811
"9","243",0.000625000001510605
"10","243",0.000625000005923212
"11","243",0.00187500012349151
"12","243",0.000624999999217689
"13","243",0.00312499934471585
"14","172",0.000624999997770414
"15","14",0.000625000011511147
"16","14",0.0131249999857396
"17","243",0.000624999991631135
"18","243",0.00312499999478459
"19","243",0.00437499987586029
"20","243",0.00624999972837418
"21","243",0.00125000000463985
"22","14",0.000625000001003966
"23","243",0.000625000005574897
"24","243",0.000624999996308237
"25","243",0.000624999994484708
"26","243",0.00125000000095367
"27","243",0.000624999999012798
"28","218",0.0124999993269518
"29","14",0.00625000013983436
"30","243",0.000625000008109957
"31","243",0.000624999998608604
"32","243",0.000625000003412366
"33","243",0.000624999999396503
"34","14",0.00499999969392829
"35","243",0.00062499999871105
"36","14",0.00187499972836114
"37","218",0.00187499986954592
"38","172",0.00187500000047684
"39","243",0.000624999997755513
"40","243",0.00375000011782721
"41","14",0.00750000322340243
"42","243",0.00062500000218302
"43","243",0.00250000053541549
"44","243",0.000624999991640449
"45","243",0.000624999997226521
"46","14",0.000625000005399808
"47","218",0.00249999999681301
"48","243",0.000624999997092411
"49","243",0.000625000004259869
"50","14",0.000624999998930842
"51","218",0.00062500001014024
"52","14",0.000625000002063811
"53","218",0.000625000000050291
"54","218",0.000625000002952293
"55","14",0.0343750006616842
"56","218",0.00249999999970943
"57","14",0.00812499986952729
"58","243",0.00249999956976622
"59","243",0.000624999998694286
"60","243",0.00125000000658631
"61","243",0.000624999997645617
"62","243",0.000625000002663583
"63","218",0.000625000001829117
"64","218",0.00437500030290894
"65","243",0.0156249996877816
"66","218",0.000625000003552064
"67","218",0.0100000004189052
"68","243",0.000625000000858679
"69","243",0.0106250001182221
"70","218",0.00374999986504391
"71","14",0.000625000002611428
"72","243",0.000624999995518476
"73","14",0.000624999996963888
"74","243",0.00124999999768287
"75","243",0.00187500026962161
"76","243",0.000625000001208857
"77","77",0.00124999999432266
"78","172",0.00187499988245405
"79","218",0.000624999997634441
"80","243",0.000624999994657934
"81","243",0.00250000002986938
"82","243",0.000624999994521961
"83","218",0.0262499992680866
"84","243",0.000625000003900379
"85","243",0.0324999992559869
"86","243",0.000624999995898455
"87","243",0.00124999999542534
"88","243",0.00312500180658698
"89","243",0.000625000000456348
"90","172",0.000625000000232831
"91","243",0.000624999997638166
"92","172",0.00312499997983314
"93","243",0.000624999994693324
"94","243",0.000624999996066093
"95","243",0.000625000008972362
"96","243",0.0143749997551795
"97","14",0.0512499997172877
"98","218",0.00249999999254383
"99","172",0.00124999999645352
"100","172",0.000624999994305894
"101","243",0.000624999996531755
"102","77",0.000624999994469807
"103","218",0.000624999993674457
"104","14",0.000624999993111938
"105","172",0.0150000037572067
"106","243",0.00062500000885129
"107","218",0.000625000001180917
"108","218",0.0056249996909257
"109","243",0.0218750011087675
"110","218",0.000625000004535541
"111","14",0.00374999946410209
"112","218",0.00249999999283627
"113","243",0.00125000000106543
"114","14",0.00124999999455363
"115","243",0.000625000005265698
"116","243",0.000624999996043742
"117","172",0.00312499946731701
"118","243",0.000624999998146668
"119","172",0.00124999999302998
"120","243",0.000624999996062368
"121","218",0.000624999989166856
"122","14",0.000625000004166737
"123","218",0.00562499789883569
"124","243",0.00437499919935875
"125","14",0.00125000000054017
"126","243",0.00249999999863096
"127","218",0.000624999999981374
"128","243",0.00062499999557808
"129","243",0.00562499984767288
"130","243",0.000624999998209998
"131","243",0.000624999996198341
"132","172",0.00249999999951571
"133","14",0.00437499933609739
"134","243",0.0118749977673534
"135","243",0.00499999985849485
"136","218",0.00125000000088662
"137","172",0.00624999723080359
"138","218",0.000624999988960102
"139","14",0.00312499932351336
"140","218",0.00249999998438545
"141","172",0.00187499986746907
"142","243",0.000624999999307096
"143","218",0.00187499972511828
"144","218",0.00124999999613315
"145","218",0.00250000000391528
"146","243",0.000625000012144446
"147","243",0.000624999995240942
"148","14",0.000624999997304752
"149","218",0.00125000000559352
"150","218",0.000625000000003725
"151","243",0.000624999997343868
"152","243",0.00124999999625236
"153","218",0.000625000001581386
"154","218",0.00249999999842793
"155","218",0.000624999999333173
"156","218",0.000625000000495464
"157","243",0.00500000070311874
