fid,DN,Area km2
1,243,0.003750001
2,243,0.000625
3,14,0.000625
4,243,0.000625
5,218,0.00125
6,172,0.00125
7,243,0.000625
8,243,0.00125
9,218,0.006875
10,243,0.000625
11,243,0.004375
12,218,0.000625
13,243,0.00125
14,218,0.000625
15,243,0.000625
16,243,0.00125
17,243,0.000625
18,243,0.00125
19,243,0.000625
20,218,0.000625
21,218,0.000625
22,243,0.0025
23,243,0.001875
24,243,0.000625
25,243,0.000625
26,218,0.000625
27,243,0.00125
28,243,0.00125
29,243,0.000625
30,218,0.000625
31,243,0.000625
32,243,0.00125
33,243,0.000625
34,243,0.000625
35,243,0.001875
36,243,0.000625
37,243,0.000625
38,243,0.000625
39,243,0.00125
40,218,0.000625
41,243,0.000625
42,243,0.00125
43,243,0.000625
44,218,0.000625
45,172,0.000625
46,243,0.000625
47,172,0.000625
48,172,0.00125
49,218,0.000625
50,243,0.013125001
51,243,0.00125
52,243,0.000625
53,243,0.000625
54,172,0.00125
55,243,0.000625
56,243,0.0025
57,172,0.00125
58,243,0.000625
59,172,0.000625
60,243,0.0025
61,218,0.00875
62,243,0.008749999
63,243,0.00125
64,243,0.000625
65,14,0.000625
66,172,0.001875
67,243,0.000625
68,243,0.000625
69,243,0.003125
70,218,0.000625
71,172,0.003750001
72,243,0.000625
73,14,0.000625
74,14,0.000625
75,243,0.001875
76,243,0.000625
77,218,0.000625
78,243,0.000625
79,243,0.000625
80,218,0.0025
81,243,0.00125
82,243,0.000625
83,243,0.005625
84,218,0.000625
85,218,0.000625
86,243,0.000625
87,218,0.00125
88,243,0.00125
89,243,0.001875
90,243,0.00125
91,243,0.000625
92,243,0.000625
93,218,0.000625
94,218,0.027500001
95,243,0.00125
96,243,0.000625
97,218,0.00375
98,243,0.00625
99,218,0.00125
100,243,0.000625
101,218,0.00125
102,243,0.00125
103,172,0.022500002
104,218,0.001875
105,218,0.00125
106,172,0.000625
107,14,0.000625
108,218,0.000625
109,243,0.000625
110,218,0.008125
111,243,0.000625
112,14,0.000625
113,14,0.001875
114,243,0.00125
115,243,0.000625
116,243,0.000625
117,243,0.001875
118,14,0.0025
119,172,0.000625
120,243,0.000625
121,243,0.000625
122,14,0.000625
123,243,0.008749997
124,218,0.000625
125,172,0.000625
126,218,0.000625
127,218,0.0075
128,243,0.00125
129,243,0.000625
130,243,0.00125
131,243,0.000625
132,218,0.001875
133,218,0.00125
134,172,0.000625
135,218,0.005
136,243,0.000625
137,172,0.002500001
138,243,0.000625
139,243,0.003125001
140,243,0.001875
141,243,0.000625
142,243,0.001875
143,218,0.009375
144,243,0.000625
