DN,Area km2
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.001875
Natural bare surface,0.0025
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural terrestrial vegetation,0.00125
Natural bare surface,0.0025
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural terrestrial vegetation,0.00125
Artificial surface,0.00125
Natural bare surface,0.003125
Natural bare surface,0.0025
Natural bare surface,0.006249999
Natural bare surface,0.000625
Artificial surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.0025
Artificial surface,0.021249998
Natural bare surface,0.000625
Natural bare surface,0.00375
Natural bare surface,0.00125
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.0025
Artificial surface,0.000625
Natural bare surface,0.008750002
Artificial surface,0.001875
Natural bare surface,0.002499999
Natural terrestrial vegetation,0.000625
Artificial surface,0.001875
Natural bare surface,0.0025
Natural terrestrial vegetation,0.026875
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Artificial surface,0.00125
Natural bare surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Artificial surface,0.003125
Natural terrestrial vegetation,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.004375001
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.001875
Cultivated terrestrial vegetation,0.004375
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.005625001
Natural bare surface,0.0075
Artificial surface,0.00125
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.005625
Natural bare surface,0.003125
Natural bare surface,0.006250002
Natural terrestrial vegetation,0.030000003
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.0025
Natural terrestrial vegetation,0.015625001
Natural bare surface,0.0025
Natural bare surface,0.001875
Natural bare surface,0.00125
Artificial surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.00125
Artificial surface,0.00125
Artificial surface,0.00125
Natural bare surface,0.00125
Natural bare surface,0.003124999
Natural terrestrial vegetation,0.003125001
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.00125
Natural bare surface,0.01250001
Artificial surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.005000001
Natural bare surface,0.000625
Natural terrestrial vegetation,0.003124999
Artificial surface,0.000625
Artificial surface,0.00125
Artificial surface,0.004375001
Natural bare surface,0.000625
Natural bare surface,0.003749998
Cultivated terrestrial vegetation,0.00125
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.004374999
Artificial surface,0.00125
Natural bare surface,0.00125
Artificial surface,0.000625
Cultivated terrestrial vegetation,0.000625
Artificial surface,0.008125001
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Artificial surface,0.00125
Artificial surface,0.0025
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.004999999
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Cultivated terrestrial vegetation,0.00125
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.006250001
Natural terrestrial vegetation,0.00375
Natural terrestrial vegetation,0.006874999
Artificial surface,0.001875
Natural bare surface,0.007499999
