fid,DN,Area km2
1,"218",0.001
2,"243",0.001
3,"218",0.001
4,"243",0.001
5,"243",0.001
6,"243",0.001
7,"243",0.002
8,"243",0.003
9,"243",0.001
10,"218",0.002
11,"218",0.002
12,"218",0.001
13,"243",0.002
14,"243",0.001
15,"243",0.001
16,"243",0.002
17,"243",0.001
18,"218",0.001
19,"218",0.001
20,"243",0.001
21,"14",0.001
22,"218",0.002
23,"243",0.001
24,"243",0.001
25,"243",0.003
26,"243",0.001
27,"218",0.009
28,"243",0.001
29,"243",0.001
30,"243",0.003
31,"243",0.001
32,"243",0.004
33,"243",0.002
34,"243",0.001
35,"218",0.001
36,"14",0.004
37,"243",0.001
38,"243",0.005
39,"243",0.001
40,"243",0.002
41,"218",0.001
42,"218",0.001
43,"243",0.001
44,"218",0.002
45,"14",0.001
46,"218",0.002
47,"243",0.001
48,"243",0.001
49,"243",0.001
50,"243",0.003
51,"243",0.001
52,"14",0.001
53,"243",0.001
54,"14",0.001
55,"243",0.001
56,"243",0.001
57,"218",0.003
58,"243",0.001
59,"243",0.003
60,"14",0.001
61,"218",0.002
62,"243",0.002
63,"243",0.002
64,"243",0.001
65,"243",0.002
66,"14",0.001
67,"218",0.002
68,"243",0.001
69,"218",0.003
70,"172",0.001
71,"243",0.001
72,"172",0.001
73,"243",0.001
74,"243",0.001
75,"218",0.001
76,"243",0.001
77,"14",0.001
78,"243",0.004
79,"243",0.001
80,"218",0.001
81,"14",0.006
82,"218",0.001
83,"14",0.002
84,"172",0.001
85,"243",0.001
86,"243",0.001
87,"218",0.001
88,"243",0.001
89,"243",0.001
90,"243",0.002
91,"218",0.001
92,"218",0.001
93,"243",0.001
94,"14",0.001
95,"243",0.001
96,"243",0.005
97,"243",0.001
98,"243",0.002
99,"243",0.001
100,"218",0.001
101,"218",0.001
102,"14",0.003
103,"218",0.001
104,"14",0.001
105,"243",0.008
106,"243",0.001
107,"243",0.001
108,"243",0.001
109,"243",0.001
110,"243",0.001
111,"218",0.001
112,"243",0.001
113,"218",0.002
114,"243",0.001
115,"172",0.039
116,"243",0.001
117,"243",0.001
118,"243",0.004
119,"243",0.001
120,"218",0.001
121,"14",0.004
122,"14",0.003
123,"243",0.001
124,"14",0.001
125,"243",0.001
126,"243",0.001
127,"243",0.001
128,"243",0.001
129,"243",0.001
130,"14",0.001
131,"172",0.002
132,"243",0.001
133,"218",0.001
134,"243",0.001
135,"218",0.001
136,"243",0.001
137,"243",0.001
138,"14",0.001
139,"14",0.001
140,"218",0.001
141,"243",0.001
142,"243",0.001
143,"218",0.010
144,"243",0.006
145,"243",0.002
146,"218",0.007
147,"243",0.002
148,"218",0.002
149,"14",0.006
150,"243",0.003
151,"243",0.001
152,"243",0.021
153,"218",0.002
154,"243",0.001
155,"243",0.001
156,"218",0.001
157,"243",0.001
158,"243",0.001
159,"243",0.001
160,"243",0.001
161,"172",0.001
162,"243",0.001
163,"218",0.007
164,"243",0.002
165,"14",0.004
166,"218",0.001
167,"243",0.001
168,"243",0.001
169,"218",0.004
170,"243",0.001
171,"243",0.001
172,"243",0.001
173,"14",0.001
174,"243",0.002
175,"243",0.001
176,"218",0.001
177,"243",0.001
178,"172",0.001
179,"218",0.001
180,"218",0.001
181,"243",0.001
182,"14",0.001
183,"243",0.001
184,"243",0.001
185,"172",0.001
186,"243",0.003
187,"243",0.003
188,"172",0.001
189,"243",0.001
190,"243",0.001
191,"243",0.004
192,"14",0.001
193,"218",0.001
194,"218",0.001
195,"218",0.001
196,"243",0.004
197,"172",0.001
198,"243",0.001
199,"243",0.001
200,"243",0.001
201,"218",0.003
202,"243",0.001
203,"172",0.003
204,"218",0.001
205,"243",0.001
206,"218",0.002
207,"243",0.001
208,"218",0.001
209,"218",0.001
210,"172",0.001
211,"14",0.001
212,"243",0.007
213,"243",0.001
214,"243",0.001
