fid,DN,Area km2
1,"243",0.001
2,"172",0.001
3,"243",0.001
4,"243",0.003
5,"14",0.001
6,"14",0.004
7,"243",0.001
8,"14",0.001
9,"243",0.001
10,"218",0.024
11,"243",0.003
12,"172",0.003
13,"14",0.001
14,"14",0.002
15,"218",0.006
16,"14",0.001
17,"243",0.001
18,"14",0.001
19,"243",0.001
20,"14",0.001
21,"172",0.001
22,"14",0.003
23,"218",0.003
24,"243",0.016
25,"243",0.001
26,"14",0.001
27,"243",0.001
28,"243",0.001
29,"243",0.001
30,"14",0.001
31,"14",0.001
32,"243",0.001
33,"218",0.001
34,"14",0.001
35,"218",0.002
36,"14",0.013
37,"218",0.001
38,"218",0.002
39,"14",0.001
40,"218",0.001
41,"172",0.001
42,"14",0.001
43,"218",0.001
44,"243",0.001
45,"218",0.001
46,"14",0.033
47,"172",0.007
48,"218",0.016
49,"14",0.001
50,"218",0.008
51,"243",0.004
52,"14",0.004
53,"218",0.001
54,"218",0.005
55,"218",0.001
56,"14",0.004
57,"218",0.001
58,"14",0.002
59,"172",0.001
60,"14",0.001
61,"14",0.001
62,"243",0.040
63,"218",0.003
64,"14",0.001
65,"172",0.001
66,"14",0.001
67,"14",0.001
68,"14",0.001
69,"243",0.002
70,"14",0.042
71,"14",0.002
72,"218",0.001
73,"14",0.004
74,"14",0.006
75,"14",0.001
76,"14",0.011
77,"218",0.001
78,"172",0.003
79,"14",0.001
80,"14",0.001
81,"218",0.002
82,"243",0.002
83,"218",0.001
84,"14",0.003
85,"14",0.001
86,"14",0.001
87,"243",0.004
88,"218",0.001
89,"243",0.001
90,"218",0.002
91,"14",0.001
92,"218",0.002
93,"14",0.001
94,"218",0.001
95,"243",0.001
96,"218",0.016
97,"14",0.012
98,"218",0.001
99,"172",0.001
100,"218",0.001
101,"14",0.002
102,"218",0.003
103,"218",0.001
104,"14",0.001
105,"14",0.001
106,"243",0.009
107,"14",0.001
108,"218",0.001
109,"218",0.001
110,"172",0.004
111,"218",0.002
112,"218",0.001
113,"14",0.001
114,"14",0.001
115,"14",0.001
116,"218",0.001
117,"243",0.001
118,"14",0.001
119,"243",0.001
120,"218",0.001
121,"14",0.006
122,"243",0.002
123,"218",0.003
124,"172",0.002
125,"243",0.002
126,"14",0.021
127,"14",0.001
128,"218",0.002
129,"243",0.110
130,"14",0.027
131,"14",0.009
132,"172",0.001
133,"14",0.001
134,"172",0.001
135,"218",0.002
136,"14",0.003
137,"14",0.001
138,"14",0.005
139,"243",0.001
140,"14",0.001
141,"14",0.001
142,"14",0.001
143,"243",0.001
144,"218",0.003
145,"172",0.001
146,"14",0.012
147,"243",0.001
148,"218",0.008
149,"243",0.001
150,"218",0.001
151,"172",0.009
152,"243",0.001
153,"243",0.001
154,"14",0.001
155,"172",0.001
156,"218",0.008
157,"218",0.001
158,"172",0.014
159,"14",0.001
160,"172",0.001
161,"14",0.002
162,"14",0.003
163,"14",0.001
164,"14",0.003
165,"243",0.013
166,"14",0.001
167,"172",0.001
168,"218",0.001
169,"218",0.001
170,"218",0.001
171,"218",0.001
172,"172",0.004
173,"14",0.001
174,"218",0.001
175,"243",0.087
176,"218",0.008
177,"14",0.009
178,"172",0.003
179,"14",0.013
180,"14",0.002
181,"14",0.001
182,"243",0.004
183,"14",0.003
184,"243",0.040
185,"243",0.004
186,"172",0.004
187,"172",0.001
188,"14",0.001
189,"172",0.001
190,"243",0.001
191,"14",0.001
192,"218",0.002
193,"243",0.001
194,"14",0.002
195,"218",0.001
196,"172",0.001
197,"218",0.001
198,"14",0.001
199,"14",0.002
200,"172",0.001
201,"243",0.001
202,"218",0.006
203,"243",0.001
204,"218",0.001
205,"243",0.001
206,"14",0.001
207,"243",0.001
208,"243",0.001
209,"14",0.001
210,"14",0.001
211,"243",0.001
212,"243",0.001
213,"172",0.001
214,"243",0.002
215,"243",0.001
216,"14",0.001
217,"172",0.006
218,"243",0.023
219,"218",0.010
220,"14",0.001
221,"172",0.004
222,"172",0.001
223,"243",0.003
224,"218",0.002
225,"14",0.001
226,"14",0.001
227,"14",0.001
228,"14",0.004
229,"243",0.001
230,"243",0.001
231,"14",0.001
232,"14",0.001
233,"172",0.002
234,"14",0.001
235,"77",0.002
236,"243",0.002
237,"243",0.002
238,"243",0.001
239,"243",0.001
240,"14",0.003
241,"14",0.004
242,"243",0.006
243,"218",0.007
244,"243",0.001
245,"172",0.001
246,"243",0.001
247,"243",0.001
248,"172",0.017
249,"14",0.001
250,"243",0.001
251,"243",0.001
252,"14",0.001
253,"243",0.001
254,"172",0.002
255,"243",0.003
256,"243",0.001
257,"243",0.001
258,"172",0.001
259,"14",0.001
260,"14",0.001
261,"243",0.001
262,"243",0.001
263,"14",0.001
264,"14",0.003
265,"243",0.001
266,"172",0.001
267,"172",0.001
268,"14",0.001
269,"243",0.001
270,"14",0.001
271,"243",0.001
272,"14",0.002
273,"172",0.002
274,"243",0.004
275,"172",0.001
276,"14",0.006
277,"243",0.001
278,"243",0.001
279,"172",0.002
280,"172",0.001
281,"243",0.001
282,"14",0.001
283,"243",0.001
284,"243",0.001
285,"14",0.001
286,"14",0.001
287,"243",0.001
288,"243",0.001
289,"243",0.001
290,"172",0.001
291,"243",0.001
292,"14",0.001
293,"14",0.001
294,"14",0.002
295,"14",0.002
296,"172",0.001
297,"243",0.007
298,"14",0.001
299,"14",0.001
300,"172",0.001
301,"172",0.021
302,"218",0.116
303,"172",0.012
304,"243",0.003
305,"243",0.003
306,"14",0.001
307,"172",0.003
308,"172",0.114
309,"14",0.001
310,"14",0.001
311,"243",0.001
312,"243",0.003
313,"243",0.001
314,"243",0.001
315,"14",0.001
316,"14",0.002
317,"243",0.001
318,"14",0.001
319,"243",0.003
320,"172",0.001
321,"14",0.001
322,"14",0.007
323,"14",0.001
324,"14",0.001
325,"243",0.002
326,"172",0.001
327,"172",0.001
328,"14",0.002
329,"243",0.001
330,"243",0.002
331,"243",0.001
332,"243",0.001
333,"243",0.001
334,"14",0.003
335,"243",0.001
336,"218",0.004
337,"14",0.001
338,"172",0.004
339,"243",0.001
340,"14",0.001
341,"172",0.001
342,"243",0.001
343,"243",0.001
344,"14",0.005
345,"14",0.001
346,"243",0.001
347,"243",0.001
348,"243",0.001
349,"172",0.003
350,"243",0.001
351,"243",0.001
352,"14",0.001
353,"14",0.001
354,"243",0.001
355,"14",0.001
356,"243",0.001
357,"14",0.001
358,"243",0.001
359,"172",0.001
360,"243",0.001
361,"172",0.001
362,"243",0.001
363,"172",0.001
364,"243",0.001
365,"218",0.001
366,"14",0.001
367,"172",0.001
368,"243",0.001
369,"172",0.001
370,"243",0.001
371,"172",0.004
372,"172",0.039
373,"14",0.011
374,"172",0.003
375,"172",0.009
376,"14",0.003
377,"243",0.001
378,"14",0.001
379,"243",0.001
380,"243",0.001
381,"14",0.001
382,"172",0.007
383,"243",0.001
384,"172",0.001
385,"218",0.001
386,"243",0.001
387,"243",0.007
388,"243",0.003
389,"243",0.001
390,"243",0.001
391,"172",0.001
392,"243",0.007
393,"14",0.001
394,"243",0.002
395,"14",0.002
396,"172",0.003
397,"243",0.001
