fid,DN,Area km2
1,"243",0.003
2,"14",0.006
3,"172",0.002
4,"218",0.001
5,"218",0.002
6,"14",0.002
7,"218",0.009
8,"218",0.001
9,"14",0.001
10,"172",0.001
11,"243",0.001
12,"14",0.005
13,"243",0.001
14,"243",0.001
15,"14",0.004
16,"243",0.001
17,"218",0.001
18,"14",0.001
19,"243",0.001
20,"218",0.001
21,"243",0.001
22,"243",0.001
23,"243",0.007
24,"243",0.001
25,"14",0.001
26,"243",0.001
27,"243",0.012
28,"218",0.010
29,"218",0.016
30,"243",0.006
31,"243",0.003
32,"14",0.011
33,"243",0.007
34,"172",0.005
35,"14",0.002
36,"243",0.001
37,"14",0.001
38,"243",0.001
39,"243",0.001
40,"243",0.001
41,"243",0.001
42,"243",0.006
43,"243",0.001
44,"243",0.006
45,"243",0.001
46,"172",0.001
47,"14",0.001
48,"14",0.001
49,"14",0.002
50,"218",0.009
51,"14",0.004
52,"243",0.001
53,"243",0.001
54,"172",0.003
55,"14",0.001
56,"243",0.001
57,"243",0.004
58,"218",0.001
59,"14",0.001
60,"172",0.001
61,"243",0.001
62,"14",0.001
63,"14",0.001
64,"243",0.001
65,"14",0.001
66,"243",0.008
67,"218",0.001
68,"14",0.002
69,"243",0.001
70,"243",0.001
71,"243",0.001
72,"14",0.002
73,"243",0.003
74,"14",0.006
75,"243",0.001
76,"243",0.001
77,"218",0.002
78,"14",0.001
79,"14",0.001
80,"243",0.010
81,"14",0.001
82,"218",0.001
83,"243",0.001
84,"14",0.031
85,"243",0.095
86,"218",0.008
87,"172",0.006
88,"14",0.013
89,"243",0.003
90,"14",0.002
91,"243",0.001
92,"243",0.007
93,"243",0.001
94,"243",0.001
95,"218",0.001
96,"243",0.001
97,"14",0.001
98,"243",0.002
99,"243",0.001
100,"14",0.001
101,"218",0.010
102,"243",0.002
103,"243",0.001
104,"243",0.001
105,"172",0.001
106,"14",0.007
107,"172",0.002
108,"243",0.001
109,"172",0.002
110,"243",0.001
111,"243",0.001
112,"243",0.003
113,"243",0.001
114,"14",0.016
115,"172",0.001
116,"243",0.001
117,"14",0.003
118,"243",0.001
119,"243",0.001
120,"243",0.002
121,"243",0.001
122,"243",0.001
123,"14",0.010
124,"243",0.001
125,"243",0.001
126,"243",0.001
127,"14",0.001
128,"243",0.001
129,"243",0.001
130,"243",0.001
131,"243",0.001
132,"243",0.001
133,"14",0.001
134,"243",0.003
135,"243",0.001
136,"77",0.001
137,"172",0.001
138,"243",0.001
139,"14",0.001
140,"243",0.001
141,"243",0.001
142,"14",0.001
143,"172",0.034
144,"243",0.011
145,"14",0.003
146,"14",0.003
147,"172",0.002
148,"218",0.115
149,"243",0.005
150,"243",0.001
151,"14",0.003
152,"172",0.001
153,"14",0.001
154,"14",0.003
155,"243",0.001
156,"14",0.015
157,"243",0.001
158,"14",0.004
159,"243",0.001
160,"172",0.010
161,"14",0.002
162,"172",0.010
163,"14",0.001
164,"14",0.001
165,"243",0.001
166,"243",0.001
167,"243",0.001
168,"14",0.001
169,"243",0.001
170,"218",0.003
171,"243",0.001
172,"218",0.008
173,"243",0.001
174,"243",0.001
175,"243",0.003
176,"14",0.001
177,"243",0.001
178,"243",0.001
179,"14",0.001
180,"172",0.002
181,"243",0.002
182,"14",0.003
183,"14",0.001
184,"243",0.001
185,"243",0.001
186,"243",0.001
187,"243",0.001
188,"14",0.001
189,"243",0.001
190,"243",0.003
191,"243",0.002
192,"14",0.020
193,"243",0.001
194,"243",0.001
195,"243",0.001
196,"14",0.001
197,"172",0.017
198,"14",0.001
199,"243",0.001
200,"243",0.001
201,"172",0.002
202,"14",0.001
203,"172",0.001
204,"243",0.005
205,"243",0.025
206,"77",0.001
207,"14",0.010
208,"243",0.001
209,"14",0.072
210,"243",0.003
211,"243",0.001
212,"14",0.034
213,"14",0.001
214,"243",0.001
215,"218",0.006
216,"243",0.006
217,"172",0.012
218,"243",0.001
219,"14",0.005
220,"243",0.001
221,"14",0.001
222,"172",0.001
223,"14",0.001
224,"14",0.001
225,"243",0.002
226,"172",0.003
227,"172",0.004
228,"218",0.002
229,"14",0.001
230,"14",0.001
231,"14",0.001
232,"243",0.001
233,"14",0.001
234,"243",0.001
235,"14",0.005
236,"243",0.001
237,"14",0.001
238,"14",0.001
239,"14",0.002
240,"172",0.001
241,"243",0.001
242,"14",0.005
243,"243",0.004
244,"14",0.001
245,"172",0.001
246,"243",0.004
247,"14",0.001
248,"14",0.002
249,"14",0.003
250,"14",0.004
251,"243",0.001
252,"243",0.002
253,"243",0.001
254,"243",0.001
255,"218",0.002
256,"14",0.001
257,"243",0.001
258,"243",0.002
259,"14",0.001
260,"243",0.001
261,"243",0.001
262,"243",0.001
263,"14",0.001
264,"172",0.010
265,"218",0.016
266,"14",0.038
267,"14",0.002
268,"218",0.002
269,"14",0.003
270,"14",0.002
271,"243",0.014
272,"243",0.001
273,"243",0.001
274,"243",0.001
275,"14",0.001
276,"243",0.001
277,"218",0.001
278,"243",0.001
279,"243",0.001
280,"14",0.001
281,"14",0.003
282,"243",0.001
283,"14",0.001
284,"14",0.001
285,"243",0.001
286,"14",0.004
287,"243",0.001
288,"243",0.005
289,"14",0.001
290,"243",0.004
291,"243",0.001
292,"14",0.001
293,"14",0.001
294,"243",0.001
295,"243",0.001
296,"243",0.001
297,"14",0.001
298,"243",0.001
299,"14",0.001
300,"243",0.001
301,"218",0.001
302,"243",0.001
303,"172",0.002
304,"14",0.003
305,"243",0.001
306,"14",0.001
307,"243",0.001
308,"243",0.007
309,"14",0.001
310,"243",0.005
311,"243",0.001
312,"243",0.023
313,"243",0.004
314,"172",0.019
315,"172",0.001
316,"243",0.001
317,"243",0.001
318,"14",0.001
319,"14",0.001
320,"243",0.001
321,"218",0.007
322,"77",0.004
323,"172",0.001
324,"243",0.001
325,"14",0.001
326,"172",0.001
327,"243",0.001
328,"243",0.001
329,"172",0.021
330,"172",0.002
331,"218",0.001
332,"14",0.001
333,"243",0.001
334,"14",0.001
335,"218",0.001
336,"14",0.001
337,"172",0.004
338,"218",0.023
339,"243",0.006
340,"243",0.002
341,"243",0.009
342,"14",0.004
343,"14",0.002
344,"14",0.001
345,"14",0.003
346,"218",0.002
347,"14",0.004
348,"243",0.001
349,"243",0.026
350,"218",0.001
351,"218",0.006
352,"218",0.035
353,"172",0.001
354,"218",0.002
355,"14",0.001
356,"172",0.001
357,"172",0.055
358,"14",0.001
359,"172",0.012
360,"172",0.009
361,"218",0.001
362,"14",0.001
363,"243",0.001
364,"243",0.001
365,"243",0.001
366,"243",0.001
367,"243",0.006
368,"243",0.001
369,"243",0.003
370,"14",0.041
371,"14",0.001
372,"218",0.001
373,"14",0.001
374,"243",0.002
375,"218",0.001
376,"243",0.001
377,"14",0.001
378,"14",0.001
379,"243",0.016
380,"218",0.001
381,"243",0.001
382,"243",0.001
383,"14",0.001
384,"218",0.012
385,"14",0.021
386,"14",0.002
387,"14",0.001
388,"243",0.005
389,"14",0.001
390,"172",0.002
391,"14",0.001
392,"172",0.001
393,"218",0.001
394,"243",0.001
395,"243",0.002
396,"218",0.006
397,"14",0.001
398,"218",0.004
399,"172",0.006
400,"218",0.001
401,"14",0.001
402,"172",0.002
403,"14",0.003
404,"14",0.009
405,"172",0.176
406,"243",0.001
407,"218",0.002
408,"243",0.001
409,"14",0.001
410,"243",0.001
411,"243",0.001
412,"243",0.002
413,"14",0.018
414,"243",0.001
415,"243",0.001
416,"14",0.001
417,"243",0.001
418,"14",0.001
419,"243",0.001
420,"14",0.001
421,"243",0.001
422,"243",0.002
423,"243",0.001
424,"243",0.001
425,"14",0.001
426,"14",0.001
427,"243",0.001
428,"14",0.001
429,"218",0.001
430,"243",0.001
431,"14",0.001
432,"243",0.001
433,"14",0.001
434,"243",0.001
435,"243",0.001
436,"14",0.001
437,"243",0.006
438,"14",0.039
439,"243",0.003
440,"14",0.004
441,"172",0.016
442,"243",0.004
443,"218",0.045
444,"14",0.006
445,"243",0.002
446,"172",0.002
447,"172",0.004
448,"243",0.001
449,"172",0.001
450,"243",0.001
451,"243",0.001
452,"14",0.001
453,"172",0.001
454,"14",0.001
455,"243",0.001
456,"77",0.004
457,"243",0.001
458,"218",0.005
459,"14",0.001
460,"218",0.002
461,"243",0.003
462,"14",0.001
463,"14",0.004
464,"243",0.001
465,"172",0.001
466,"243",0.005
467,"77",0.008
468,"14",0.001
469,"243",0.001
470,"14",0.001
471,"172",0.001
472,"243",0.001
473,"14",0.001
474,"172",0.001
475,"14",0.001
476,"243",0.001
477,"14",0.019
478,"243",0.001
479,"243",0.001
480,"243",0.001
481,"14",0.001
482,"14",0.001
483,"243",0.001
484,"243",0.001
485,"14",0.001
486,"172",0.001
487,"77",0.009
488,"218",0.001
489,"243",0.001
490,"243",0.001
491,"243",0.001
492,"243",0.009
493,"243",0.001
494,"172",0.001
495,"14",0.001
496,"14",0.002
497,"172",0.001
498,"14",0.072
499,"243",0.001
500,"14",0.003
501,"172",0.001
502,"243",0.001
503,"243",0.001
