DN,Area km2
Natural bare surface,0.00125
Natural bare surface,0.00125
Artificial surface,0.003125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.000625
Artificial surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.000625
Artificial surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.003125
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.002500001
Natural bare surface,0.0025
Natural terrestrial vegetation,0.00125
Artificial surface,0.000625
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.001875
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.00125
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural terrestrial vegetation,0.004375001
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.069375005
Natural bare surface,0.001875
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.001875
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.001875
Natural bare surface,0.006875
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.004375
Artificial surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.00125
Natural bare surface,0.001875
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.001875
Artificial surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Artificial surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Artificial surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.00375
Natural bare surface,0.000625
Natural bare surface,0.0025
Natural bare surface,0.003125001
Natural bare surface,0.001875
Cultivated terrestrial vegetation,0.00625
Natural bare surface,0.001875
Artificial surface,0.000625
Natural bare surface,0.00125
Cultivated terrestrial vegetation,0.00875
Artificial surface,0.000625
Artificial surface,0.0025
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.00125
Artificial surface,0.016875002
Artificial surface,0.014374996
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural terrestrial vegetation,0.00125
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.0025
Natural bare surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.00375
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.005
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.00125
Cultivated terrestrial vegetation,0.00125
Artificial surface,0.001875
Natural bare surface,0.000625
Artificial surface,0.00125
Natural bare surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.00125
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Artificial surface,0.000625
Natural bare surface,0.003750001
Natural bare surface,0.004375
Natural bare surface,0.00375
Natural bare surface,0.000625
Natural bare surface,0.004374999
Artificial surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.0025
Natural bare surface,0.000625
Natural bare surface,0.001875
Cultivated terrestrial vegetation,0.006875001
Natural bare surface,0.001875
Natural bare surface,0.004375
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.001875
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.003125001
Natural bare surface,0.0025
Natural bare surface,0.0025
Natural bare surface,0.001875
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.00125
Natural bare surface,0.000625
Artificial surface,0.000625
Natural terrestrial vegetation,0.005625001
