fid,DN,Area km2
1,"172",0.002
2,"243",0.001
3,"14",0.001
4,"243",0.001
5,"243",0.003
6,"243",0.001
7,"172",0.002
8,"172",0.001
9,"14",0.001
10,"243",0.001
11,"172",0.001
12,"243",0.001
13,"243",0.002
14,"243",0.001
15,"14",0.001
16,"218",0.001
17,"172",0.001
18,"172",0.003
19,"243",0.002
20,"243",0.004
21,"14",0.001
22,"243",0.004
23,"243",0.001
24,"172",0.004
25,"218",0.001
26,"243",0.001
27,"218",0.001
28,"218",0.002
29,"172",0.001
30,"243",0.003
31,"218",0.001
32,"243",0.003
33,"243",0.002
34,"172",0.003
35,"172",0.001
36,"14",0.001
37,"218",0.001
38,"218",0.001
39,"243",0.001
40,"243",0.001
41,"243",0.003
42,"243",0.001
43,"243",0.008
44,"243",0.001
45,"218",0.003
46,"14",0.001
47,"218",0.001
48,"243",0.001
49,"172",0.001
50,"218",0.002
51,"14",0.004
52,"218",0.003
53,"243",0.001
54,"243",0.001
55,"243",0.001
56,"243",0.003
57,"218",0.001
58,"243",0.001
59,"172",0.014
60,"243",0.008
61,"243",0.002
62,"243",0.001
63,"218",0.001
64,"243",0.003
65,"243",0.026
66,"218",0.001
67,"243",0.002
68,"243",0.002
69,"243",0.001
70,"218",0.001
71,"172",0.001
72,"243",0.001
73,"243",0.001
74,"218",0.001
75,"243",0.001
76,"172",0.001
77,"243",0.001
78,"243",0.001
79,"243",0.001
80,"218",0.001
81,"243",0.001
82,"243",0.001
83,"218",0.001
84,"218",0.001
85,"172",0.023
86,"172",0.003
87,"243",0.003
88,"14",0.014
89,"218",0.001
90,"243",0.010
91,"243",0.001
92,"172",0.002
93,"218",0.003
94,"243",0.001
95,"14",0.001
96,"218",0.001
97,"243",0.001
98,"243",0.001
99,"14",0.001
100,"14",0.001
101,"218",0.001
102,"243",0.002
103,"243",0.017
104,"243",0.003
105,"243",0.001
106,"218",0.002
107,"218",0.001
108,"218",0.016
109,"14",0.001
110,"243",0.001
111,"218",0.001
112,"243",0.001
113,"243",0.013
114,"218",0.001
115,"218",0.001
116,"243",0.031
117,"14",0.001
118,"243",0.001
119,"243",0.001
120,"243",0.001
121,"172",0.028
122,"243",0.001
123,"243",0.001
124,"243",0.001
125,"243",0.002
126,"14",0.006
127,"243",0.001
128,"218",0.002
129,"243",0.001
130,"14",0.001
131,"243",0.002
132,"243",0.004
133,"243",0.001
134,"243",0.001
135,"243",0.001
136,"243",0.001
137,"218",0.002
138,"172",0.001
139,"243",0.001
140,"243",0.002
141,"243",0.001
142,"243",0.001
