fid,DN,Area km2
1,"172",0.001
2,"243",0.004
3,"243",0.002
4,"172",0.001
5,"243",0.001
6,"14",0.001
7,"172",0.001
8,"243",0.003
9,"243",0.001
10,"218",0.001
11,"218",0.002
12,"243",0.001
13,"218",0.001
14,"243",0.001
15,"172",0.002
16,"218",0.001
17,"218",0.007
18,"14",0.001
19,"218",0.001
20,"14",0.001
21,"218",0.001
22,"172",0.003
23,"218",0.001
24,"243",0.001
25,"243",0.004
26,"172",0.001
27,"14",0.001
28,"218",0.001
29,"243",0.012
30,"14",0.010
31,"172",0.001
32,"243",0.001
33,"243",0.017
34,"14",0.014
35,"14",0.005
36,"243",0.001
37,"172",0.001
38,"243",0.001
39,"218",0.011
40,"218",0.004
41,"218",0.001
42,"243",0.001
43,"243",0.001
44,"14",0.001
45,"14",0.005
46,"243",0.002
47,"14",0.001
48,"218",0.003
49,"243",0.001
50,"218",0.002
51,"243",0.001
52,"218",0.001
53,"172",0.001
54,"243",0.001
55,"243",0.001
56,"14",0.016
57,"172",0.009
58,"243",0.012
59,"243",0.003
60,"218",0.003
61,"14",0.004
62,"218",0.004
63,"218",0.003
64,"14",0.001
65,"218",0.003
66,"218",0.001
67,"14",0.003
68,"218",0.001
69,"218",0.001
70,"14",0.001
71,"243",0.001
72,"172",0.001
73,"218",0.001
74,"14",0.001
75,"14",0.001
76,"218",0.001
77,"243",0.014
78,"172",0.005
79,"243",0.001
80,"14",0.001
81,"14",0.005
82,"14",0.001
83,"172",0.001
84,"14",0.001
85,"218",0.002
86,"243",0.010
87,"243",0.010
88,"14",0.005
89,"243",0.001
90,"218",0.001
91,"14",0.002
92,"218",0.001
93,"218",0.001
94,"14",0.001
95,"243",0.001
96,"218",0.001
97,"243",0.001
98,"172",0.001
99,"218",0.001
100,"218",0.003
101,"243",0.001
102,"218",0.001
103,"243",0.018
104,"172",0.001
105,"14",0.001
106,"14",0.002
107,"172",0.001
108,"243",0.002
109,"218",0.002
110,"218",0.001
111,"14",0.002
112,"172",0.011
113,"218",0.024
114,"14",0.018
115,"218",0.001
116,"243",0.001
117,"218",0.001
118,"172",0.009
119,"243",0.001
120,"243",0.001
121,"218",0.004
122,"14",0.001
123,"14",0.001
124,"14",0.007
125,"14",0.001
126,"243",0.024
127,"243",0.001
128,"243",0.001
129,"172",0.001
130,"243",0.001
131,"218",0.004
132,"243",0.001
133,"14",0.012
134,"172",0.005
135,"243",0.104
136,"14",0.001
137,"14",0.001
138,"218",0.001
139,"172",0.001
140,"14",0.001
141,"14",0.001
142,"218",0.001
143,"14",0.002
144,"218",0.001
145,"14",0.009
146,"243",0.001
147,"218",0.001
148,"172",0.004
