DN,Area km2
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.001875
Natural terrestrial vegetation,0.018124979
Natural bare surface,0.004375001
Natural bare surface,0.000625
Natural terrestrial vegetation,0.004374998
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural terrestrial vegetation,0.002500001
Artificial surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.0175
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.022499999
Natural bare surface,0.001875
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural terrestrial vegetation,0.001875
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Artificial surface,0.00125
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00375
Natural bare surface,0.002500001
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.00125
Artificial surface,0.058124998
Artificial surface,0.0025
Natural bare surface,0.00125
Natural terrestrial vegetation,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Cultivated terrestrial vegetation,0.002499999
Natural bare surface,0.000625
Natural terrestrial vegetation,0.00125
Cultivated terrestrial vegetation,0.04375
Natural terrestrial vegetation,0.036249999
Natural bare surface,0.00125
Natural bare surface,0.00125
Natural bare surface,0.001875
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.0075
Natural terrestrial vegetation,0.00125
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.00125
Natural bare surface,0.021249999
Natural bare surface,0.007500001
Natural bare surface,0.004375001
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.003125001
Natural terrestrial vegetation,0.001875
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.076249989
Natural bare surface,0.00125
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.001875
Artificial surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.001875
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.00125
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.001875
Artificial surface,0.005
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.005625005
Natural bare surface,0.0025
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.00125
Natural bare surface,0.00125
Natural bare surface,0.00125
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.030625005
Natural bare surface,0.0025
Natural bare surface,0.00125
Artificial surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.00125
Cultivated terrestrial vegetation,0.000625
Artificial surface,0.000625
Cultivated terrestrial vegetation,0.001875
Natural bare surface,0.00125
Natural bare surface,0.001875
Natural bare surface,0.001875
Artificial surface,0.000625
Natural bare surface,0.00375
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
