fid,DN,Area km2
1,"172",0.002
2,"243",0.001
3,"218",0.001
4,"172",0.008
5,"243",0.001
6,"243",0.001
7,"243",0.001
8,"243",0.001
9,"243",0.001
10,"218",0.002
11,"243",0.001
12,"243",0.007
13,"243",0.001
14,"243",0.001
15,"218",0.005
16,"243",0.001
17,"218",0.012
18,"218",0.003
19,"218",0.001
20,"243",0.002
21,"243",0.001
22,"243",0.001
23,"243",0.007
24,"243",0.003
25,"243",0.001
26,"243",0.001
27,"14",0.001
28,"243",0.007
29,"218",0.001
30,"243",0.003
31,"218",0.001
32,"243",0.001
33,"243",0.001
34,"243",0.001
35,"14",0.005
36,"14",0.001
37,"243",0.001
38,"243",0.001
39,"243",0.001
40,"218",0.001
41,"243",0.001
42,"243",0.001
43,"218",0.001
44,"172",0.011
45,"243",0.001
46,"218",0.001
47,"218",0.001
48,"243",0.005
49,"243",0.001
50,"243",0.001
51,"243",0.001
52,"172",0.001
53,"218",0.001
54,"14",0.001
55,"172",0.001
56,"14",0.001
57,"243",0.001
58,"243",0.001
59,"172",0.023
60,"243",0.012
61,"243",0.009
62,"243",0.002
63,"218",0.002
64,"243",0.001
65,"243",0.001
66,"243",0.001
67,"218",0.001
68,"243",0.006
69,"172",0.001
70,"243",0.001
71,"218",0.001
72,"14",0.001
73,"243",0.001
74,"172",0.004
75,"243",0.001
76,"243",0.001
77,"218",0.001
78,"243",0.002
79,"243",0.001
80,"218",0.001
81,"243",0.001
82,"243",0.001
83,"218",0.001
84,"243",0.001
85,"218",0.013
86,"243",0.002
87,"243",0.001
88,"243",0.001
89,"243",0.001
90,"243",0.001
91,"172",0.001
92,"243",0.001
93,"218",0.002
94,"243",0.001
95,"243",0.003
96,"243",0.001
97,"218",0.001
98,"218",0.002
99,"243",0.001
100,"14",0.001
101,"243",0.001
102,"243",0.001
103,"243",0.001
104,"14",0.001
105,"243",0.001
106,"218",0.001
107,"14",0.001
108,"14",0.001
109,"243",0.001
110,"172",0.001
111,"243",0.001
112,"243",0.001
113,"243",0.001
114,"243",0.004
115,"243",0.002
116,"218",0.002
117,"218",0.006
118,"243",0.001
119,"218",0.001
120,"243",0.002
121,"218",0.001
122,"243",0.001
123,"243",0.002
124,"243",0.001
125,"218",0.001
126,"218",0.001
127,"243",0.002
128,"218",0.136
129,"218",0.001
130,"243",0.001
131,"218",0.001
132,"243",0.002
133,"172",0.002
134,"243",0.001
135,"243",0.001
136,"243",0.001
137,"243",0.001
138,"243",0.001
139,"172",0.019
140,"243",0.033
141,"243",0.006
142,"218",0.001
