DN,Area km2
Natural bare surface,0.000625
Artificial surface,0.004375
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.003125
Artificial surface,0.00125
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.001875
Cultivated terrestrial vegetation,0.010625
Cultivated terrestrial vegetation,0.001875
Cultivated terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.00125
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.000625
Artificial surface,0.000625
Natural bare surface,0.004375001
Cultivated terrestrial vegetation,0.0025
Cultivated terrestrial vegetation,0.044375007
Artificial surface,0.000625
Natural bare surface,0.00125
Natural terrestrial vegetation,0.000625
Natural bare surface,0.013749998
Cultivated terrestrial vegetation,0.00125
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.003750001
Artificial surface,0.00125
Natural bare surface,0.000625
Artificial surface,0.000625
Cultivated terrestrial vegetation,0.00125
Natural terrestrial vegetation,0.00125
Natural bare surface,0.00125
Natural bare surface,0.0025
Artificial surface,0.000625
Natural bare surface,0.001875
Artificial surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.001875
Artificial surface,0.00125
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.008125
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.000625
Natural terrestrial vegetation,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.003125
Artificial surface,0.000625
Natural bare surface,0.010625001
Artificial surface,0.017499999
Natural bare surface,0.000625
Natural bare surface,0.005625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.001875
Artificial surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.001875
Natural bare surface,0.0025
Natural bare surface,0.002500001
Natural bare surface,0.001875
Natural bare surface,0.001875
Artificial surface,0.00125
Natural bare surface,0.00125
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.003125
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.010625
Natural bare surface,0.00125
Natural bare surface,0.00375
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural terrestrial vegetation,0.0025
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.00375
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.00125
Natural terrestrial vegetation,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.011250001
Natural bare surface,0.0025
Natural terrestrial vegetation,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Artificial surface,0.019374999
Cultivated terrestrial vegetation,0.066874998
Artificial surface,0.005000001
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.005625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.001875
Artificial surface,0.00625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.00125
Natural bare surface,0.005
Artificial surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.0025
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.003125
Artificial surface,0.008749999
Cultivated terrestrial vegetation,0.001875
Natural bare surface,0.003125001
Artificial surface,0.002500001
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.000625
Natural terrestrial vegetation,0.003124999
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.018750003
Artificial surface,0.003125002
Cultivated terrestrial vegetation,0.000625
Artificial surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Water,0.001875
Natural bare surface,0.000625
Natural bare surface,0.000625
Water,0.0025
Cultivated terrestrial vegetation,0.004375
Natural bare surface,0.00125
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.00125
Natural bare surface,0.000625
Artificial surface,0.002500001
Artificial surface,0.000625
Cultivated terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.00125
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.001875
Natural bare surface,0.00125
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Cultivated terrestrial vegetation,0.00375
Natural bare surface,0.00125
Natural bare surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.001875
Natural bare surface,0.000625
Artificial surface,0.0025
Natural bare surface,0.00375
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.00125
Cultivated terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.00125
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.0025
Artificial surface,0.00125
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.00125
Natural bare surface,0.005624998
Natural bare surface,0.003750004
Natural bare surface,0.00125
Natural bare surface,0.005625
Natural bare surface,0.00125
