fid,DN,Area km2
1,"14",0.001
2,"243",0.007
3,"14",0.002
4,"172",0.002
5,"243",0.002
6,"172",0.007
7,"218",0.011
8,"243",0.001
9,"243",0.001
10,"14",0.001
11,"243",0.001
12,"218",0.001
13,"243",0.001
14,"243",0.001
15,"14",0.001
16,"218",0.004
17,"243",0.001
18,"14",0.001
19,"243",0.001
20,"243",0.001
21,"243",0.001
22,"172",0.009
23,"172",0.001
24,"243",0.001
25,"218",0.018
26,"243",0.001
27,"243",0.002
28,"243",0.001
29,"243",0.001
30,"218",0.001
31,"243",0.001
32,"172",0.009
33,"14",0.001
34,"172",0.003
35,"218",0.001
36,"172",0.006
37,"172",0.002
38,"243",0.002
39,"243",0.001
40,"218",0.002
41,"243",0.001
42,"243",0.001
43,"243",0.001
44,"172",0.003
45,"243",0.001
46,"243",0.001
47,"243",0.001
48,"172",0.001
49,"172",0.001
50,"14",0.002
51,"243",0.001
52,"243",0.001
53,"243",0.001
54,"218",0.002
55,"243",0.001
56,"243",0.001
57,"218",0.001
58,"172",0.002
59,"14",0.002
60,"243",0.001
61,"218",0.007
62,"218",0.001
63,"243",0.001
64,"218",0.001
65,"14",0.001
66,"243",0.001
67,"243",0.001
68,"218",0.001
69,"243",0.001
70,"243",0.001
71,"243",0.001
72,"172",0.014
73,"243",0.004
74,"172",0.001
75,"243",0.001
76,"14",0.001
77,"172",0.001
78,"243",0.001
79,"218",0.001
80,"218",0.008
81,"243",0.001
82,"243",0.006
83,"218",0.001
84,"243",0.001
85,"243",0.001
86,"218",0.001
87,"243",0.001
88,"218",0.001
89,"172",0.001
90,"172",0.003
91,"172",0.001
92,"218",0.004
93,"243",0.001
94,"243",0.001
95,"243",0.001
96,"243",0.001
97,"243",0.004
98,"243",0.001
99,"243",0.001
100,"172",0.001
101,"218",0.001
102,"243",0.001
103,"172",0.001
104,"243",0.001
105,"172",0.001
106,"243",0.001
107,"14",0.002
108,"243",0.002
109,"218",0.005
110,"218",0.001
111,"218",0.003
112,"243",0.001
113,"14",0.002
114,"243",0.001
115,"14",0.001
116,"243",0.001
117,"243",0.002
118,"243",0.001
119,"218",0.002
120,"243",0.001
121,"14",0.001
122,"172",0.001
123,"218",0.001
124,"14",0.002
125,"243",0.001
126,"172",0.001
127,"14",0.001
128,"218",0.001
129,"243",0.001
130,"243",0.001
131,"218",0.001
132,"243",0.002
133,"243",0.002
134,"172",0.011
135,"218",0.001
136,"172",0.002
137,"243",0.001
138,"218",0.003
139,"172",0.001
140,"218",0.001
141,"14",0.001
142,"14",0.005
143,"243",0.001
144,"172",0.001
145,"172",0.001
146,"218",0.001
147,"243",0.001
148,"243",0.001
149,"243",0.001
150,"218",0.001
151,"243",0.001
152,"243",0.002
153,"243",0.001
154,"243",0.001
155,"243",0.004
156,"14",0.001
157,"218",0.003
158,"218",0.001
159,"243",0.001
160,"172",0.003
161,"172",0.001
162,"243",0.001
163,"172",0.001
164,"172",0.002
165,"218",0.012
166,"243",0.001
167,"218",0.029
168,"243",0.004
169,"243",0.001
170,"218",0.001
171,"172",0.001
172,"14",0.001
173,"243",0.001
174,"14",0.001
