DN,Area km2
Natural bare surface,0.000625
Natural bare surface,0.0025
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.00125
Natural bare surface,0.002499999
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.00125
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.00125
Artificial surface,0.001875
Natural bare surface,0.00125
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.005
Natural bare surface,0.005000002
Artificial surface,0.003125
Artificial surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.005624999
Natural bare surface,0.001875
Natural terrestrial vegetation,0.005625
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.008125
Natural bare surface,0.000625
Artificial surface,0.001875
Artificial surface,0.005
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.007499999
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.001875
Natural bare surface,0.001875
Natural bare surface,0.003749999
Natural bare surface,0.00125
Natural bare surface,0.0025
Natural bare surface,0.000625
Artificial surface,0.0025
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00375
Cultivated terrestrial vegetation,0.017500003
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.003124999
Natural bare surface,0.005625
Artificial surface,0.000625
Cultivated terrestrial vegetation,0.005625
Natural bare surface,0.009375
Artificial surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.00125
Artificial surface,0.003125002
Natural bare surface,0.001875
Natural bare surface,0.00125
Natural bare surface,0.00125
Cultivated terrestrial vegetation,0.001875
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Artificial surface,0.00125
Natural bare surface,0.002500001
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.008749999
Natural bare surface,0.000625
Natural bare surface,0.0025
Natural bare surface,0.000625
Artificial surface,0.001875
Natural terrestrial vegetation,0.000625
Natural bare surface,0.005625001
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.00125
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.000625
Artificial surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.00375
Natural bare surface,0.003124999
Natural terrestrial vegetation,0.000625
Natural bare surface,0.003125
Natural bare surface,0.0025
Natural terrestrial vegetation,0.008125
Cultivated terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.001875
Natural bare surface,0.014999988
Natural bare surface,0.000625
Natural bare surface,0.001875
Cultivated terrestrial vegetation,0.000625
Artificial surface,0.0025
Natural bare surface,0.000625
Natural terrestrial vegetation,0.001875
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural terrestrial vegetation,0.000625
Artificial surface,0.000625
Natural terrestrial vegetation,0.001875
Natural bare surface,0.00125
Natural bare surface,0.001875
Artificial surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.001875
Natural terrestrial vegetation,0.00375
Natural bare surface,0.00125
Artificial surface,0.001875
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.00125
Natural terrestrial vegetation,0.000625
Natural bare surface,0.00125
Natural bare surface,0.00125
Natural terrestrial vegetation,0.000625
Natural bare surface,0.00125
