DN,Area km2
Natural terrestrial vegetation,0.011874991
Cultivated terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.00125
Natural terrestrial vegetation,0.00125
Natural bare surface,0.001875
Cultivated terrestrial vegetation,0.00125
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Artificial surface,0.013125004
Natural terrestrial vegetation,0.0125
Cultivated terrestrial vegetation,0.014374999
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.006249998
Cultivated terrestrial vegetation,0.007499999
Cultivated terrestrial vegetation,0.0025
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Cultivated terrestrial vegetation,0.0075
Cultivated terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.0025
Natural terrestrial vegetation,0.003124999
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.004375
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Artificial surface,0.00125
Artificial surface,0.001875
Artificial surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.005
Natural bare surface,0.001875
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Artificial surface,0.005
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Artificial surface,0.000625
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.058124985
Cultivated terrestrial vegetation,0.000625
Artificial surface,0.014374998
Cultivated terrestrial vegetation,0.073124993
Natural bare surface,0.003750001
Natural terrestrial vegetation,0.0025
Natural bare surface,0.0025
Natural terrestrial vegetation,0.000625
Artificial surface,0.00125
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.00125
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.004375001
Artificial surface,0.000625
Natural bare surface,0.014375
Natural terrestrial vegetation,0.00125
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.005000001
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.000625
Artificial surface,0.000625
Artificial surface,0.000625
Cultivated terrestrial vegetation,0.003125
Natural terrestrial vegetation,0.004375
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.001875
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.005625
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Artificial surface,0.00125
Natural terrestrial vegetation,0.000625
Natural bare surface,0.00375
Artificial surface,0.000625
Natural terrestrial vegetation,0.004375001
Natural bare surface,0.001875
Natural terrestrial vegetation,0.001875
Cultivated terrestrial vegetation,0.0025
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.00125
Artificial surface,0.005000001
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Artificial surface,0.005000001
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.001875
Artificial surface,0.001875
Natural bare surface,0.00125
Natural bare surface,0.001875
Artificial surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.018749999
Artificial surface,0.048749998
Cultivated terrestrial vegetation,0.033125
Natural bare surface,0.00125
Natural terrestrial vegetation,0.00375
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.003124998
Artificial surface,0.003125
Natural bare surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.004999999
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.005625
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.005
Cultivated terrestrial vegetation,0.00625
Natural bare surface,0.00125
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.005624999
Artificial surface,0.00375
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.006874999
Natural bare surface,0.001875
Artificial surface,0.001875
Natural terrestrial vegetation,0.002499999
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.00125
Cultivated terrestrial vegetation,0.043125004
Natural bare surface,0.000625
Artificial surface,0.00875
Natural terrestrial vegetation,0.000625
Natural bare surface,0.001875
Artificial surface,0.003125
Cultivated terrestrial vegetation,0.017499999
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.001875
Natural terrestrial vegetation,0.00125
Natural bare surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.009375
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural terrestrial vegetation,0.00125
Artificial surface,0.00375
Natural bare surface,0.000625
Artificial surface,0.00125
Natural bare surface,0.019374996
Natural terrestrial vegetation,0.000625
Artificial surface,0.00125
Natural terrestrial vegetation,0.00125
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00375
Cultivated terrestrial vegetation,0.001875
Natural bare surface,0.001875
Artificial surface,0.000625
Cultivated terrestrial vegetation,0.0075
Artificial surface,0.001875
Natural terrestrial vegetation,0.000625
Artificial surface,0.000625
Natural terrestrial vegetation,0.00125
Artificial surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.000625
Natural bare surface,0.008125
Cultivated terrestrial vegetation,0.001875
Natural terrestrial vegetation,0.000625
Artificial surface,0.000625
Cultivated terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.003125002
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.003750002
Artificial surface,0.005
Artificial surface,0.012499999
Artificial surface,0.00375
Natural terrestrial vegetation,0.001875
Cultivated terrestrial vegetation,0.029374998
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.000625
Cultivated terrestrial vegetation,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Artificial surface,0.0025
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural bare surface,0.00125
Cultivated terrestrial vegetation,0.001875
Cultivated terrestrial vegetation,0.001875
Cultivated terrestrial vegetation,0.00125
Natural bare surface,0.00125
Natural bare surface,0.001875
Natural bare surface,0.000625
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Artificial surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.001875
Natural bare surface,0.003125
Natural bare surface,0.000625
Artificial surface,0.019375
Natural bare surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.001875
Natural terrestrial vegetation,0.006875001
Natural bare surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural terrestrial vegetation,0.00125
Natural terrestrial vegetation,0.000625
Natural terrestrial vegetation,0.000625
Natural bare surface,0.000625
Water,0.000625
Natural bare surface,0.000625
Natural bare surface,0.00125
Natural terrestrial vegetation,0.003125
Natural bare surface,0.00125
Artificial surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.004374999
Natural bare surface,0.028125001
Artificial surface,0.071875004
Natural bare surface,0.001875
Natural bare surface,0.008125
Natural bare surface,0.004375001
Artificial surface,0.00125
Natural terrestrial vegetation,0.003749999
Natural bare surface,0.003125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Cultivated terrestrial vegetation,0.002499999
Natural terrestrial vegetation,0.003125
Artificial surface,0.032500002
Natural bare surface,0.004375001
Natural terrestrial vegetation,0.003124999
Artificial surface,0.00125
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.000625
Natural bare surface,0.006250001
Natural bare surface,0.000625
Artificial surface,0.000625
