fid,DN,Area km2
1,"14",0.003
2,"172",0.004
3,"14",0.004
4,"172",0.002
5,"14",0.001
6,"14",0.001
7,"172",0.001
8,"172",0.001
9,"172",0.004
10,"14",0.003
11,"14",0.001
12,"172",0.001
13,"14",0.027
14,"14",0.002
15,"243",0.001
16,"218",0.002
17,"243",0.001
18,"14",0.006
19,"77",0.001
20,"172",0.001
21,"172",0.009
22,"172",0.001
23,"172",0.001
24,"172",0.012
25,"172",0.034
26,"172",0.001
27,"172",0.003
28,"14",0.004
29,"14",0.001
30,"14",0.002
31,"243",0.001
32,"243",0.001
33,"172",0.008
34,"243",0.001
35,"218",0.007
36,"14",0.001
37,"243",0.001
38,"218",0.001
39,"172",0.001
40,"218",0.001
41,"218",0.001
42,"14",0.001
43,"243",0.002
44,"243",0.001
45,"243",0.003
46,"243",0.001
47,"14",0.001
48,"172",0.001
49,"243",0.001
50,"243",0.001
51,"243",0.001
52,"243",0.004
53,"14",0.001
54,"243",0.002
55,"172",0.001
56,"172",0.002
57,"243",0.001
58,"172",0.001
59,"172",0.001
60,"172",0.001
61,"218",0.006
62,"243",0.001
63,"14",0.016
64,"14",0.003
65,"14",0.009
66,"77",0.604
67,"218",0.006
68,"243",0.001
69,"172",0.004
70,"172",0.001
71,"218",0.002
72,"243",0.001
73,"218",0.002
74,"172",0.001
75,"243",0.001
76,"14",0.001
77,"218",0.002
78,"172",0.001
79,"243",0.001
80,"243",0.001
81,"243",0.001
82,"14",0.004
83,"243",0.001
84,"14",0.002
85,"14",0.028
86,"172",0.014
87,"172",0.005
88,"14",0.001
89,"172",0.001
90,"243",0.005
91,"243",0.001
92,"172",0.087
93,"14",0.002
94,"218",0.003
95,"14",0.001
96,"172",0.035
97,"172",0.001
98,"243",0.001
99,"243",0.001
100,"172",0.001
101,"14",0.001
102,"243",0.003
103,"172",0.001
104,"243",0.001
105,"218",0.001
106,"243",0.003
107,"243",0.005
108,"243",0.001
109,"218",0.001
110,"243",0.001
111,"172",0.019
112,"172",0.017
113,"243",0.001
114,"218",0.001
115,"218",0.001
116,"218",0.002
117,"218",0.001
118,"243",0.001
119,"243",0.001
120,"14",0.003
121,"243",0.002
122,"243",0.001
123,"172",0.001
124,"243",0.001
125,"243",0.002
126,"172",0.207
127,"243",0.007
128,"14",0.001
129,"172",0.020
130,"243",0.006
131,"243",0.001
132,"218",0.001
133,"172",0.001
134,"172",0.062
135,"243",0.001
136,"218",0.002
137,"243",0.001
138,"243",0.001
139,"172",0.001
140,"172",0.001
141,"218",0.001
142,"243",0.001
143,"243",0.002
144,"243",0.001
145,"243",0.001
146,"14",0.079
147,"243",0.002
148,"243",0.002
149,"218",0.001
150,"218",0.001
151,"243",0.001
152,"243",0.004
153,"218",0.001
154,"218",0.001
155,"243",0.001
156,"172",0.002
157,"243",0.001
158,"218",0.001
159,"218",0.001
160,"14",0.001
161,"243",0.001
162,"243",0.001
163,"243",0.001
164,"218",0.001
165,"243",0.001
166,"218",0.001
167,"243",0.002
168,"243",0.001
169,"243",0.001
170,"218",0.001
171,"243",0.001
172,"243",0.001
173,"243",0.001
174,"172",0.001
175,"243",0.001
176,"243",0.001
177,"172",0.004
178,"172",0.060
179,"243",0.012
180,"243",0.007
181,"218",0.001
182,"218",0.003
183,"243",0.001
184,"218",0.004
185,"243",0.001
186,"243",0.002
187,"218",0.003
188,"243",0.001
189,"172",0.001
190,"243",0.001
191,"243",0.001
192,"243",0.001
193,"218",0.001
194,"243",0.003
195,"243",0.001
196,"218",0.001
197,"243",0.002
198,"218",0.001
199,"218",0.002
200,"218",0.001
201,"172",0.006
202,"172",0.001
203,"243",0.007
204,"243",0.005
205,"14",0.001
206,"243",0.006
207,"218",0.003
208,"243",0.001
209,"243",0.001
210,"218",0.001
211,"243",0.001
212,"243",0.001
213,"172",0.001
214,"172",0.001
215,"172",0.002
216,"218",0.006
217,"14",0.001
218,"218",0.001
219,"243",0.001
220,"243",0.001
221,"14",0.001
222,"243",0.001
223,"243",0.001
224,"243",0.001
225,"218",0.003
226,"243",0.001
227,"243",0.001
228,"243",0.001
229,"218",0.001
230,"172",0.006
231,"14",0.001
232,"172",0.049
233,"172",0.001
234,"243",0.001
235,"243",0.001
236,"218",0.001
237,"243",0.001
238,"172",0.001
239,"218",0.001
240,"243",0.001
241,"218",0.001
242,"243",0.001
243,"14",0.001
244,"172",0.001
245,"243",0.001
246,"243",0.001
247,"243",0.002
248,"243",0.008
249,"218",0.001
250,"243",0.003
251,"218",0.001
252,"243",0.001
253,"218",0.001
254,"172",0.012
255,"14",0.001
256,"218",0.001
