,Augusta Place,Coroboree Park,"Crace, Drooka Cres",Dickson Ambulance,Forde,Hackett Oval,Hannah Community Park,Kaleen Primary,Lake Ginninderra,Lockhart Place Playground,Lyneham shops creek,MacKellar Cook,Narrabundah German club,O'connor banksia wetland,Palmerston,Reeve Close,University Campus,War memorial,Watson Dog Park,Watson Pottery,Yarralumla Primary
Augusta Place,0,0,0,0,9,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
Coroboree Park,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,10,0,0,0
"Crace, Drooka Cres",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0
Dickson Ambulance,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Forde,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,0
Hackett Oval,0,2,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,10,201,1,0
Hannah Community Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaleen Primary,0,0,1,0,0,0,0,0,0,0,1,0,0,14,1,0,2,0,0,0,0
Lake Ginninderra,0,0,0,0,0,0,0,8,0,0,9,0,0,97,0,0,7,0,0,0,0
Lockhart Place Playground,1,0,0,0,18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Lyneham shops creek,0,1,1,24,0,7,0,1,11,0,0,0,0,391,1,0,14,0,64,15,0
MacKellar Cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Narrabundah German club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
O'connor banksia wetland,0,1,0,2,0,1,0,4,67,0,284,0,0,0,0,0,90,0,1,1,0
Palmerston,2,0,1,0,24,0,0,1,0,11,1,0,0,0,0,4,0,0,0,0,0
Reeve Close,2,0,0,0,18,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0
University Campus,0,0,0,0,0,0,5,0,3,0,17,0,0,115,0,0,0,4,0,0,0
War memorial,0,4,2,0,0,4,65,0,0,0,0,0,21,0,0,0,9,0,0,0,0
Watson Dog Park,8,0,0,19,72,149,0,0,0,32,39,0,0,0,24,16,0,0,0,20,0
Watson Pottery,0,0,0,2,0,1,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0
Yarralumla Primary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
