Roost,Roost size,Latitude,Longitude,Level,Distance ,Position,Region,Installation date,Installation time(end),Approach n,Approach start,Approach end,Approach date,Approach type,Solving time,Species,Roost of origin,Video reference,Notes
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,1,02:05:29,02:05:40,20230701,Presence,NA,Unknown,,ANU/Level1/0056,
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,2,02:07:24,02:07:27,20230701,Presence,NA,Unknown,,ANU/Level1/0057,
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,3,02:09:24,02:16:04,20230701,Solving,02:10:06,Petaurus spp.,,ANU/Level1/0058 to 59,
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,4,02:39:08,02:39:25,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level1/0060,
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,5,02:42:27,02:42:38,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level1/0061,
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,6,03:24:40,03:48:44,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level1/0062 to 63,
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,7,03:49:08,03:49:17,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level1/0063,
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,8,03:50:09,03:56:37,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level1/0064 to 65,
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,9,03:57:06,03:57:09,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level1/0065,
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,10,22:09:30,22:10:59,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level1/00134,
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,11,23:13:59,23:17:42,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level1/00135 to 136,
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,12,23:42:29,23:43:03,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level1/00137,
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,13,00:23:24,00:57:11,20230702,Post attempt,NA,Petaurus spp.,,ANU/Level1/00138 to 142,
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,16:50,14,00:57:44,00:58:20,20230702,Post attempt,NA,Petaurus spp.,,ANU/Level1/00142,
