"","SITES_DAY","WEIGHTED_DEGREE","UNWEIGHTED_DEGREE","BETWEENESS"
"1","Augusta Place",116,7,0
"2","Coroboree Park",215,6,3.71269841269841
"3","Crace, Drooka Cres",9,7,3.13505644682115
"4","Dickson Ambulance",140,8,0.769301458775143
"5","Forde",98,7,0
"6","Hackett Oval",244,13,18.3280590410621
"7","Hannah Community Park",184,3,0
"8","Kaleen Primary",18,8,7.3955658376711
"9","Lake Ginninderra",176,4,0.166666666666667
"10","Lockhart Place Playground",196,9,3.04954669513493
"11","Lyneham shops creek",737,15,36.4805384630849
"12","MacKellar Cook",1,1,0
"13","Narrabundah German club",26,4,2.33174603174603
"14","O'connor banksia wetland",1107,11,14.3805395455937
"15","Palmerston",73,11,11.5217719973525
"16","Reeve Close",122,11,9.20574635632685
"17","Telopea Park",19,2,1.67727272727273
"18","University Campus",219,6,3.58214285714286
"19","War memorial",341,8,19.4715367965368
"20","Watson Dog Park",508,11,7.13342508025171
"21","Watson Oval",376,7,3.18546568670408
"22","Watson Pottery",246,9,4.47291989915829
"23","Yarralumla Primary",1,1,0
