Roost,Roost.size,Latitude,Longitude,Level,Distance,Position,Region,Installation.date,Installation.time.end.,Took.down.or.Solving,Species,Latency_1stapproach,Solving.time,Latency_Solving,Latency_Solving2,Mean.approach.duration,Approaches,Solved,UI,O.Neill
ANU,287,-35.277264,149.114302,1,20.4,Right,North,20230629,29/6/2023 16:50:00,1/7/2023 02:10:00,Cacatua galerita,NA,NA,NA,NA,0,0,0,-0.411539234,2.38556
ANU,287,-35.277264,149.114302,2,22.9,Left,North,20230629,29/6/2023 16:50:00,5/7/2023 06:43:00,Cacatua galerita,NA,NA,NA,NA,0,0,0,-0.411539234,2.38556
ANU,287,-35.277264,149.114302,3,9.5,Center,North,20230629,29/6/2023 16:50:00,1/7/2023 02:45:00,Cacatua galerita,NA,NA,NA,NA,0,0,0,-0.411539234,2.38556
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,30/6/2023 16:50:00,4/7/2023 17:13:00,Cacatua galerita,90812,4/7/2023 17:13:16,256184,346996,90.21428571,27,1,-0.008539533,2.612594
Garis Place,165,-35.207972,149.01435,1,4.8,Center,Belconnen,20230616,16/6/2023 15:10:00,11/8/2023 11:00:00,Cacatua galerita,701773,NA,NA,NA,40.5,4,0,1.39763251,2.296369
Garis Place,165,-35.207972,149.01435,2,NA,Right,Belconnen,20230616,16/6/2023 15:10:00,11/8/2023 11:00:00,Cacatua galerita,NA,NA,NA,NA,0,0,0,1.39763251,2.296369
Garis Place,165,-35.207972,149.01435,3,12,Left,Belconnen,20230616,16/6/2023 15:10:00,11/8/2023 11:00:00,Cacatua galerita,81717,NA,NA,NA,98.16216216,72,0,1.39763251,2.296369
Gungahlin,130,-35.167771,149.144915,3,NA,Right,Gungahlin,20230614,14/6/2023 16:00:00,9/7/2023 17:12:00,Cacatua galerita,91944,9/7/2023 17:12:04,2072380,2164324,31.2,4,1,1.325772421,2.431183
Hackett,97,-35.252048,149.161005,1,9.5,Left,North,20230718,18/7/2023 11:45:00,20/7/2023 11:16:00,Cacatua galerita,170366,20/7/2023 11:16:03,697,171063,170.5,3,1,-1.229035332,2.022477
Hackett,97,-35.252048,149.161005,3,10.1,Right,North,20230718,18/7/2023 11:45:00,12/9/2023 11:45:00,Cacatua galerita,3207311,NA,NA,NA,104.4285714,7,0,-1.229035332,2.022477
Higgins,103,-35.228725,149.024226,1,8.4,Center,Belconnen,20230620,20/6/2023 13:20:00,5/7/2023 08:16:00,Cacatua galerita,1277782,5/7/2023 08:16:51,29,1277811,100,2,1,0.895896786,2.56934
Lake Ginninderra,454,-35.231289,149.073231,3,NA,Left,Belconnen,20230620,20/6/2023 10:40:00,11/8/2023 12:08:00,Cacatua galerita,NA,NA,NA,NA,0,0,0,1.406180015,2.711737
Lyneam,41,-35.25562,149.128381,1,13,Right,North,20230624,24/6/2023 14:00:00,27/6/2023 12:30:00,Cacatua galerita,253836,27/6/2023 12:30:58,22,253858,658,0,1,0.506605631,2.804285
