,Roost,Level,Roost.size,Latitude,Longitude,Distance,Position,Region,Installation.date,Installation.time.end.,Un.installation.date,Un.installation.time,Species,Latency_1stapproach,Solving.time,Latency_Solving,Mean approach duration,Approaches,Solved,Approaches Duration,Latency_Solving2
1,Corroboree Park,1,52,-35.269,149.141853,NA,Left,North,20230630,30/6/2023 16:50:00,20230704,17:13:16,Cacatua galerita,90812,4/7/2023 17:13:16,256184,90.21428571,27,1,2526,346996
2,Garis Place,1,165,-35.207972,149.01435,4.8,Center,Belconnen,20230616,16/6/2023 15:10:00,20230811,11:00:00,Cacatua galerita,701773,NA,NA,40.5,4,0,162,NA
3,Garis Place,3,165,-35.207129,149.014454,12,Left,Belconnen,20230616,16/6/2023 15:10:00,20230811,11:00:00,Cacatua galerita,81717,NA,NA,98.16216216,72,0,7264,NA
4,Gungahlin,1,130,-35.167771,149.144915,NA,Left,Gungahlin,20230614,14/6/2023 16:00:00,20230627,11:58:00,Cacatua galerita,93738,NA,NA,92.7,10,0,927,NA
5,Gungahlin,2,130,-35.167881,149.145186,10.8,Center,Gungahlin,20230614,14/6/2023 16:00:00,20230718,11:57:55,Cacatua galerita,93068,NA,NA,53.16666667,12,0,638,NA
6,Gungahlin,3,130,-35.168069,149.145626,NA,Right,Gungahlin,20230614,14/6/2023 16:00:00,20230709,17:12:04,Cacatua galerita,91944,9/7/2023 17:12:04,2072380,31.2,4,1,156,2164324
7,Hackett,1,97,-35.252048,149.161005,9.5,Left,North,20230718,18/7/2023 11:45:00,20230720,11:16:03,Cacatua galerita,170366,20/7/2023 11:16:03,697,170.5,3,1,682,171063
8,Hackett,3,97,-35.251075,149.162724,10.1,Right,North,20230718,18/7/2023 11:45:00,20230912,11:45:00,Cacatua galerita,3207311,NA,NA,104.4285714,7,0,731,NA
9,Higgins,1,103,-35.228725,149.024226,8.4,Center,Belconnen,20230620,20/6/2023 13:20:00,20230705,08:16:51,Cacatua galerita,1277782,5/7/2023 08:16:51,29,100,2,1,200,1277811
10,Lyneam,1,41,-35.25562,149.128381,13,Right,North,20230624,24/6/2023 14:00:00,20230627,12:30:58,Cacatua galerita,253836,27/6/2023 12:30:58,22,658,0,1,658,253858
11,Lyneam,2,41,-35.254317,149.127706,9.5,Left,North,20230624,24/6/2023 14:00:00,20230712,11:19:33,Cacatua galerita,771950,12/7/2023 11:19:33,773623,206.6315789,18,1,3926,1545573
12,Lyneam,3,41,-35.254317,149.127706,NA,Center,North,20230624,24/6/2023 14:00:00,20230712,12:53:55,Cacatua galerita,505794,12/7/2023 12:53:55,1045441,222.8,20,1,4456,1551235
13,Narrabundah,1,270,-35.336765,149.152358,10.9,Center,South,20230829,29/8/2023 13:20:00,20230909,18:26:09,Cacatua galerita,19823,9/9/2023 18:26:09,948946,45.94117647,16,1,781,968769
14,Narrabundah,2,270,-35.336897,149.151536,10.4,Left,South,20230829,29/8/2023 13:20:00,20231024,13:20:00,Cacatua galerita,364866,NA,NA,120.8,5,0,604,NA
15,Narrabundah,3,270,-35.337425,149.153887,16.3,Right,South,20230829,29/8/2023 13:20:00,20230908,19:15:17,Cacatua galerita,710435,8/9/2023 19:15:17,174882,367.6666667,5,1,2206,885317
16,O'Connor,2,165,-35.258916,149.113906,10.3,Left,North,20230624,24/6/2023 17:00:00,20230819,17:00:00,Cacatua galerita,2985353,NA,NA,8.5,2,0,17,NA
17,Telopea Park,2,320,-35.316269,149.136911,10.6,Left,South,20230816,16/8/2023 11:50:00,20230902,11:24:51,Cacatua galerita,92325,2/9/2023 11:24:51,1374966,307,5,1,1842,1467291
18,War Memorial,2,82,-35.28384,149.145197,9.7,Left,North,20230703,3/7/2023 13:15:00,20230828,13:15:00,Cacatua galerita,1816983,NA,NA,97.52727273,55,0,5364,NA
19,Watson,1,151,-35.237272,149.161154,13.3,Center,North,20230718,18/7/2023 13:50:00,20230806,18:35:43,Cacatua galerita,880837,6/8/2023 18:35:43,777906,265.5,1,1,531,1658743
20,Watson,2,151,-35.237174,149.161549,17.3,Right,North,20230718,18/7/2023 13:50:00,20230819,12:32:51,Cacatua galerita,2758857,19/8/2023 12:32:51,1314,715,2,1,2145,2760171
21,Watson,3,151,-35.237104,149.160883,6.5,Left,North,20230718,18/7/2023 13:50:00,20230912,13:50:00,Cacatua galerita,3992840,NA,NA,24,1,0,24,NA
22,Yarralulma,1,280,-35.30691,149.101011,12.9,Center,South,20230824,24/8/2023 11:50:00,20230830,10:55:19,Cacatua galerita,513408,30/8/2023 10:55:19,1711,459,2,1,1377,515119
23,Yarralulma,2,280,-35.306828,149.100369,20.1,Left,South,20230824,24/8/2023 11:50:00,20231019,11:50:00,Cacatua galerita,456755,NA,NA,141.8571429,7,0,993,NA
24,Yarralulma,3,280,-35.307398,149.101357,16,Right,South,20230824,24/8/2023 11:50:00,20230901,11:25:41,Cacatua galerita,101995,1/9/2023 11:25:41,587746,231.3333333,2,1,694,689741
