"Roost","LEVEL","Position","COMPLETE.DATA","X1st.APPROACH.date","X1st.APPROACH.time","X1st.APPROACH.latency","END.POINT.1st.approach","END.POINT.1st.approach.time","FATE.1st.approach","SOLVING.date","SOLVING.time","SOLVING.latency.1","SOLVING.latency.2","END.POINT.solving","END.POINT.solving.time","FATE.solving","SOLVED","SOLVED.SCC","APPROACHED.SCC","INSTALLATION.DATE.END","INSTALLATION.TIME.END","UI","O.Neill","Roost.size","Degree","WTDegree","COMMENTS","total_approaches","was_solved","approaches_before_solve","n_approaches_total","total_engagement_time_all","n_approaches_to_solve","total_engagement_time_to_solve","mean_approach_duration"
"ANU",1,"R",1,NA,NA,NA,20230712,"12:00:00","Never approached",20230701,"02:10:06",NA,NA,20230701,"02:10:06","Solved others",1,0,0,20230629,"14:05:00",-0.411539234,2.38556,287,1,6.618922645,"Solved by gliders",NA,NA,NA,0,0,0,0,NA
"ANU",2,"L",1,20230711,"06:28:53","To compute",20230712,NA,"Took box down",20230705,"06:43:22",NA,NA,20230705,"06:43:22","Solved others",1,0,1,20230629,"14:05:00",-0.411539234,2.38556,287,1,6.618922645,"Solved by gliders",NA,NA,NA,0,0,0,0,NA
"ANU",3,"C",1,NA,NA,NA,20230712,"12:00:00","Never approached",20230701,"02:45:54",NA,NA,20230701,"02:45:54","Solved others",1,0,0,20230629,"14:05:00",-0.411539234,2.38556,287,1,6.618922645,"Solved by gliders",NA,NA,NA,0,0,0,0,NA
"Cook",1,"R",0,NA,NA,NA,20230626,"11:04:00","Never approached",NA,NA,NA,NA,20230626,"11:04:00","Camera failure",1,0,0,20230624,"10:30:00",0.307843649,1.872539,176,0,6.316196815,"Solving not recorded",NA,NA,NA,0,0,0,0,NA
"Cook",2,"C",1,20230708,"07:19:25","To compute",20230725,NA,"Took box down",20230707,"15:02:00",NA,NA,20230707,"15:02:00","Solved others",1,0,1,20230624,"10:30:00",0.307843649,1.872539,176,0,6.316196815,"Solved by crimson rosella after the monitoring",NA,NA,NA,0,0,0,0,NA
"Cook",3,"L",0,NA,NA,NA,20230624,"11:05:00","No data",NA,NA,NA,NA,20230624,"11:05:00","Camera failure",1,0,0,20230624,"10:30:00",0.307843649,1.872539,176,0,6.316196815,"No data from 24/6 to 7/7/23, solving not recorded",NA,NA,NA,0,0,0,0,NA
"Corroboree Park",1,"L",1,20230701,"18:03:41","90812",20230711,NA,"Took box down",20230704,"17:15:16",256184,346996,20230704,"17:15:16","Took box down",1,1,1,20230715,"16:50:00",-0.008539533,2.612594,52,2,6.432966534,NA,28,TRUE,27,28,42.1,28,42.1,1.50357142857143
"Corroboree Park",2,"C",0,NA,NA,NA,20230715,"16:51:00","No data",NA,NA,NA,NA,20230715,"16:51:00","Camera failure",1,0,0,20230715,"16:50:00",-0.008539533,2.612594,52,2,6.432966534,"NO date and time from 30/6 to 14/7/23",NA,NA,NA,0,0,0,0,NA
"Corroboree Park",3,"R",0,NA,NA,NA,20230715,"16:51:00","No data",NA,NA,NA,NA,20230715,"16:51:00","Camera failure",1,0,0,20230715,"16:50:00",-0.008539533,2.612594,52,2,6.432966534,"NO date and time from 30/6 to 14/7/23",NA,NA,NA,0,0,0,0,NA
"Garis Place",1,"C",1,20230624,"18:06:32","701773",20230811,NA,"Took box down",NA,NA,NA,NA,20230811,"15:10:00","Took box down",0,0,1,20230616,"15:10:00",1.39763251,2.296369,165,0,4.773966213,"Unsolved",4,FALSE,NA,4,2.7,4,2.7,0.675
"Garis Place",2,"R",1,NA,NA,NA,20230811,"15:10:00","Never approached",NA,NA,NA,NA,20230811,"15:10:00","Took box down",0,0,0,20230616,"15:10:00",1.39763251,2.296369,165,0,4.773966213,"Unsolved",NA,NA,NA,0,0,0,0,NA
"Garis Place",3,"L",1,20230617,"13:53:19","81717",20230811,NA,"Took box down",NA,NA,NA,NA,20230811,"15:10:00","Took box down",0,0,1,20230616,"15:10:00",1.39763251,2.296369,165,0,4.773966213,"Unsolved",74,FALSE,NA,74,121.066666666667,74,121.066666666667,1.63603603603604
"Gungahlin",1,"L",0,20230615,"18:07:00","93738",20230617,NA,"Camera failure",NA,NA,NA,NA,20230617,"11:35:00","Camera failure",1,0,1,20230614,"16:00:00",1.325772421,2.431183,130,1,4.822126641,"Tape in front of sensor, solving not recorded. CHECK endpoint",10,FALSE,NA,10,15.45,10,15.45,1.545
"Gungahlin",2,"C",0,20230615,"17:51:55","93068",20230720,NA,"Camera failure",NA,NA,NA,NA,20230720,"14:35:00","Camera failure",1,0,1,20230614,"16:00:00",1.325772421,2.431183,130,1,4.822126641,"Wrong batteries or SD card, solving not recorded",12,FALSE,NA,12,10.6333333333333,12,10.6333333333333,0.886111111111111
"Gungahlin",3,"R",1,20230615,"17:32:47","91944",20230714,NA,"Took box down",20230709,"17:12:04",2072380,2164324,20230709,"17:12:04","Took box down",1,1,1,20230614,"16:00:00",1.325772421,2.431183,130,1,4.822126641,NA,5,TRUE,4,5,2.6,5,2.6,0.52
"Hackett",1,"L",1,20230720,"11:06:40","170366",20230802,NA,"Took box down",20230720,"11:16:03",697,171063,20230720,"11:16:03","Took box down",1,1,1,20230718,"11:45:00",-1.229035332,2.022477,97,1,6.048765872,NA,4,TRUE,3,4,11.3666666666667,4,11.3666666666667,2.84166666666667
"Hackett",2,"C",0,NA,NA,NA,20230810,"11:45:00","Never approached",NA,NA,NA,NA,20230810,"08:28:00","Camera failure",1,0,0,20230718,"11:45:00",-1.229035332,2.022477,97,1,6.048765872,"Wrong batteries or SD card, solving and 1st approach not recorded",NA,NA,NA,0,0,0,0,NA
